,0,1,2,source
12366,and sure he was none that she knew none of her country or clan,a stranger mother-naked and marred with the marks of fire,but comely and great of stature a man to obey and admire,img2poems
12367,note  covered an oven,the cooking fire is made in a,hole in the ground and is then buried,img2poems
12368,so shalt thou stint the meagre winter thus,of his projected triumph and the rime,shall melt before the sunshine in thy book,img2poems
12369,where is the tryst it must keep,who is her pandar,death,img2poems
12370,lo,her lips summoning part,i am not whom she calls,img2poems
12371,r,l,s,img2poems
12372,this hast thou done and i  can i be base,i must arise o father and to port,some lost complaining seaman pilot home,img2poems
12373,and back returning to your firelit friends,you see the rosy sun despoiled of light,hung caught in thickets like a schoolboy's kite,img2poems
12374,bright were your eyes in the night,we have lived my love,o we have loved my love,img2poems
12375,for when our souls have learned the heat to bear,the cloud will vanish we shall hear his voice,and round my golden tent like lambs rejoice,img2poems
12376,in futurity,i prophesy,that the earth from sleep,img2poems
12377,mock on mock on voltaire rousseau,you throw the sand against the wind,and the wind blows it back again,img2poems
12378,they stumble all night over bones of the dead,and feel they know not what but care,and wish to lead others when they should be led,img2poems
12379,i slumber not the thorn is in my couch,each day a trumpet soundeth in mine ear,its echo in my heart,img2poems
12380,the humblest of thy pilgrim passing by,would gladly woo thine echoes with his string,though from thy heights no more one muse will wave her wing,img2poems
12381,tribes of the wandering foot and weary breast,how shall ye flee away and be at rest,the wild-dove hath her nest the fox his cave,img2poems
12382,a soldier's grave for thee the best,then look around and choose thy ground,and take thy rest,img2poems
12383,farewell to others bur never we part,bright is the diadem boundless the sway,or kingly the death that awaits us to-day,img2poems
12384,oh thine be the gladness and mine be the guilt,forgive me adored one,but the heart which is thine shall expire undebased,img2poems
12385,ii,not in his youth alone but in age may the heart of the poet,bloom into song as the gorse blossoms in autumn and spring,img2poems
12386,iv,let us be grateful to writers for what is left in the inkstand,when to leave off is an art only attained by the few,img2poems
12387,vii,like a french poem is life being only perfect in structure,when with the masculine rhymes mingled the feminine are,img2poems
12388,ix,as the ink from our pen so flow our thoughts and our feelings,when we begin to write however sluggish before,img2poems
12389,x,like the kingdom of heaven the fountain of youth is within us,if we seek it elsewhere old shall we grow in the search,img2poems
12390,xi,if you would hit the mark you must aim a little above it,every arrow that flies feels the attraction of earth,img2poems
12391,xii,wisely the hebrews admit no present tense in their language,while we are speaking the word it is is already the past,img2poems
12392,xiii,in the twilight of age all things seem strange and phantasmal,as between daylight and dark ghost-like the landscape appears,img2poems
12393,xiv,great is the art of beginning but greater the art is of ending,many a poem is marred by a superfluous verse,img2poems
12394,glimmer as funeral lamps,amid the chills and darn ps,of the vast plain where death encamps,img2poems
12395,o thou child of many prayers,life hath quickeands life hath snares,care and age come unawares,img2poems
12396,fairer seems the ancient city and the sunshine seems more fair,that he once has trod its pavement that he once has breathed its,air,img2poems
12397,not thy councils not thy kaisers win for thee the world's,regard,but thy painter albrecht durer and hans sachs thy cobbler-bard,img2poems
12398,thrust no future howe'er pleasant,let the dead past bury its dead,heart within and god o'erhead,img2poems
12399,rose a nurse of ninety years,set his child upon her knee,like summer tempest came her tears,img2poems
12400,behold we know not anything,i can but trust that good shall fall,and every winter change to spring,img2poems
12401,i hold it true whate'er befall,i feel it when i sorrow most,than never to have loved at all,img2poems
12402,and while he whistled long and loud,he heard a fierce mermaiden cry,i see the place where thou wilt lie,img2poems
12403,my sisters crying  :stay for shame,my father raves of death and wreck,they are all to blame they are all to blame,img2poems
12404,peace singing under her olive and slurring the days gone by,when the poor are hovell'd and hustled together each sex like swine,when only the ledger lives and when only not all men lie,img2poems
12405,she was o'er us like a star o'er an ocean,seeking the last decuman wave with beams,you gave her name of woe and commotion,img2poems
12406,but what of names,we are together always,all on your knees,img2poems
12407,there speaks a neighbor through the fences light,with a sweet girl and only bees can hear,the gentlest talking of this kind,img2poems
12408,and honor rites of our meetings sad,when our speech just as a bud to blossom,is cut by wind the cold and mad,img2poems
12409,ii,magdalena struggled cried and moaned,piter sank into the stone trance,img2poems
12410,which had been lighted so early,the snow flakes in their by-falls,shine brighter and more festive-fairly,img2poems
12411,hail,hail to thee o immovable pain,the young grey-eyed king had been yesterday slain,img2poems
12412,i don't like flowers - they do remind me often,of funerals of weddings and of balls,their presence on tables for a dinner calls,img2poems
12413,now you're here but afar in the morn,why of this only one of all pages,had i once bent a corner for long,img2poems
12414,every time this book opens mere,in the same place and it's very strange,as if years had not passed from that edge,img2poems
12415,i now stride where none need any more,where just a shadow is the best of mates,from the wild garden waves a wind remote,img2poems
12416,that is why my dreams as i have found,suddenly would spread such extent out,and lead me after the morning star,img2poems
12417,i'll come once more,let fences blossom,and pools be clear ones and full,img2poems
12418,why are you so pale and upset,that's because i today made him crazy,with the sour wine of regret,img2poems
12419,can't forget,he got out astound,with his mouth distorted by pain,img2poems
12420,my lips are opened a bit,and breath is fast as if in fever,the date that didn't happen ever,img2poems
12421,in cloudy darkness the bored crescent-sable,had sent to our room its grim shine,six sets are installed on the white of the table,img2poems
12422,but still not a single bard said the word,there is no wisdom and no the old,and death is a tale just twice told,img2poems
12423,and deathly wind cools hearts our own,but peter's-city to all us,will be the sanctified tombstone,img2poems
12424,don't forget,like a wife of the rebel of old,on the red square i'll wail without end,img2poems
12425,i was ne'er able to endure such pain,let all that was be with a black cloth muffled,and let the lanterns be got out,img2poems
12426,and looks strait into my red eyes,and threads with death that's coming fast,the immense blazing star,img2poems
12427,crucifixion,don't weep for me mother,seeing me in a grave,img2poems
12428,i wish all of them with their names to be called,but how can i do that,i have not the roll,img2poems
12429,they took him up and they laid him down,and they had him into the nearest town,to wait the coroner,img2poems
12430,then spake a morris from oxenford,how shall we judge the ways of the lord,that are but steel and fire,img2poems
12431,there's silent night,a sleeping child is growing,the veil of sadness o'er the world is soaring,img2poems
12432,i do like this star in heights,such a light to us has brought,is a single drop inside,img2poems
12433,i do like this star so bright,i can grasp the endlessness,to the earth and to the skies,img2poems
12434,where statues remember me youthful and blessed,in silence so fragrant amidst limes of kings,i hear: the ship's masts are squeaking in swings,img2poems
12435,leads me into your quiet gardens' shades,where i afraid of every turn and bough,in full forgetfulness seek for my former trace,img2poems
12436,oh should i come under an arch enlivened,by your great hand into the holly heaven,to cool at last my so shameful heat,img2poems
12437,there i'll be blessed - forever and entire,and closing my eye-leads blazed by fire,again obtain my tears' former gift,img2poems
12438,muse,do you see how happy are they,widows women and maidens,img2poems
12439,most of all treasures i them both prize,i am to stand by them until my end,just by my priceless dear motherland,img2poems
12440,wife will betray you leave once faithful friend,but you learn to enjoy the bliss another,look in a mirror of the polar land,img2poems
12441,and only by caesar's gates  high on the vault,the baby versed into mysteries mourned,because none of them will be ever returned,img2poems
12442,only here to breath by these graves and these stones,where composed i once those beautiful songs,of the meeting that's waiting for us,img2poems
12443,where at first into my waxen-colorless face,you had breathed with fresh air of the distant life's grace,pushing through as the graveyard's green grass,img2poems
12444,over our cursed heads and we,are flying o'er the abyss awful,through space where none can something see,img2poems
12445,i wait for you,the years in silence pass,and as the image one i wait for you again,img2poems
12446,the distance is such bright,and azure is so fine,but i'm afraid that you will change your image yet,img2poems
12447,there behind your shoulders so quiet,the wings' tremble i feel,pierces me with his look of a fire,img2poems
12448,and endless battle,we only dream of peace,through blood and dust,img2poems
12449,in long looks gladness will be here,and quietly our years will pass,in moats will be water clear,img2poems
12450,i'm ready for this meet belated,i'll stretch my arms to you and sing,for you the bearing from battle,img2poems
12451,there's a morn demon,he's of gauze and light,like skies is blue his tunic's airy flood,img2poems
12452,he who left for a cave and a lantern,or for river's back-water forlorn,will be met by the eyes of a painter,img2poems
12453,and if the stars are void of midday words,i shall myself create them for the worlds,and warmly charm them by the songs of battles,img2poems
12454,i am a brother to the gulfs and storms,but i will plait into my uniforms,a lily  the blue star of flourishing valleys,img2poems
12455,that from a star took his name by a chance,when he had said don't fear the lord to us,just try the fruit and be like him immortal,img2poems
12456,but she is too upset and saddened,and under her skin of a satin,the poisoned blood is now moved,img2poems
12457,for all this now came repudiation,blind men will smash the gentle deceptive temple,and thoughts will come into my habitation,img2poems
12458,my dear friend and i have tried to find,my paradise in serfdom of a soul,without hopes or memories or goals,img2poems
12459,may be in my previous a-being,i've cut the throats of my mom and dad,i have been doomed to suffering like that,img2poems
12460,the moment fled and next one now hovers,and we wring hands but yet once more miss,we are condemned to miss and miss it over,img2poems
12461,what they're about a don't know yet,but full of pine in the harmonic set,like easy tears they pour around,img2poems
12462,their love was so gentle so long and surprising,with pining so deep and zeal like a crazy uprising,but much like foes they shunned their meetings confessions,img2poems
12463,they left each other in suffering wordless and proud,and only in dreams saw the image beloved farther,death had come and commenced their date in the world that is out,img2poems
12464,if you are here i want to hear,but mute you look at me severe,and i am silent on my way,img2poems
12465,what can i do,i haven't a blessing,to please you with my simple tongue,img2poems
12466,this time about my dear friend,i am beginning my narration,my story will be very sad,img2poems
12467,such we'll start life at last repose,with hand-in-hand such we'll come both,and our grandsons will bury us,img2poems
12468,but what is this,he stopped frustrated,went back returned a little later,img2poems
12469,count khvostov a pet of zeus,now is singing his songs deathless,to the neva shores' former plight,img2poems
12470,chapter one,he's in a hurry to exist and feel,prince vyazemsky,img2poems
12471,what do you want else,they agreed,the youth is smart and very sweet,img2poems
12472,but stories calling for a-giggling,from romulus till present days,his mind held in firsthand a place,img2poems
12473,how swift his glance could be and gentle,brazen and shy and by a chance,shined with a controlled tear at once,img2poems
12474,is it not former life of pleasure,when in sweet laziness and shade,my happiest days were slowly led,img2poems
12475,and then a guitar is in favor,dunya will cry,come into my abode of gold,img2poems
12476,chapter three,elle etait fille elle etait amoureuse,malfitatre,img2poems
12477,lord byron with his whim successful,dressed into grim romanticism,even the helpless egoism,img2poems
12478,i wept then sorely for fear,braiding my hair they wept much,and singing led me to a church,img2poems
12479,i feel that it will not be easy,because the gentle parnee's times,aren't entertaining more to us,img2poems
12480,days flow after days  each hour departs,a bit of life  and both you and i,plan a long life but could abruptly die,img2poems
12481,my dusty staff in the eternal glow,and else o god i bless forever  peace,and bread in stove of another home,img2poems
12482,i slowly walked back to my home on the beach,taking the bottle along with me,this would be a day i would never forget,img2poems
12483,and thus am damned to spend these coming years,with shouts of coward,ringing in my ears,img2poems
12484,d,a,smalley,img2poems
12485,you are my sun,the sun can make me live,the moon can make me fly,img2poems
12486,you think that i am a child,like the way you can cry,you can smile a lot all the time,img2poems
12487,there is nothing but peace,shown in the scene,until a lone man arrives,img2poems
12488,he bends over and,removes the underbrush,wipes away the dirt and mud,img2poems
12489,he gently strokes the,well-worn stone with,obvious pain and love,img2poems
12490,he walks away unerringly,with purpose and point,to his stride,img2poems
12491,one last look back,is all he needs as yet,another tear drops,img2poems
12492,even if i'm not awake,i sense the dawn,of yet another day,img2poems
12493,i have set my rainbow in the clouds and it shall be a,sign of the covenant between me and the earth,gen,img2poems
12494,kiss and kill me sweetly slowly,drag the life out of me,drain my soul of all affection of all emotion,img2poems
12495,it brings a tear,you've grown so much you are beautiful,you fill my life you make it full,img2poems
12496,the leaves begin their dance,but this time,the stars are watching,img2poems
12497,yatha bubbulakam passe yatha passe maricikam,evam lokam avekkhanatam maccuraja na passati,the dhammapada,img2poems
12498,at least i think that i do,he climbed so far out on the limb,and secured it there with a bow,img2poems
12499,then out of the clear blue,something happened i stopped,searching when i first looked at you,img2poems
12500,i know you will understand when i say,that although the price may be high to pay,you and i will find a way,img2poems
12501,he knew not what to say,ha sat there smiled and held me till this day,but now i know that life has meaning,img2poems
12502,i must now go i say to him,i smile at him and so does he,in the glass mirror in front of me,img2poems
12503,i wish for time,an endless time,so that all i wish should be,img2poems
12504,o buckle an' tongue,was the song that we sung,from harrison's down to the park,img2poems
12505,this will the fifty give me,when they are spent and dead,five times other fifties shall be my servants instead,img2poems
12506,we're foot slog slog slog sloggin' over africa,foot foot foot foot sloggin' over africa,there's no discharge in the war,img2poems
12507,seven six eleven five nine-an'-twenty mile to-day,four eleven seventeen thirty-two the day before,there's no discharge in the war,img2poems
12508,don't don't don't don't look at what's in front of you,men men men men men go mad with watchin' em,an' there's no discharge in the war,img2poems
12509,count count count count the bullets in the bandoliers,if your eyes drop they will get atop o' you,there's no discharge in the war,img2poems
12510,there shall he patient take his seat,and there await a people's feet,in the paths that he prepared,img2poems
12511,for he banked and he sluiced and he ditched and he led,a-half euphrates out of her bed,to water his dam' corn,img2poems
12512,then draw your hatches my brother true,an' let a little water through,but cain he answered:  no,img2poems
12513,my dams are tight an' my ditches are sound,an' not a drop goes through or round,till she's done her duty by the corn,img2poems
12514,i will not sell an' i will not draw,an' if you breach i'll have the law,as sure as you are born,img2poems
12515,iv,the temper of chums the love of your wife and a new piano's tune,which of the three will you trust at the end of an indian june,img2poems
12516,x,with a weed among men or horses verily this is the best,that you work him in office or dog-cart lightly  but give him no rest,img2poems
12517,xi,pleasant the snaffle of courtship improving the manners and carriage,but the colt who is wise will abstain from the terrible thorn-bit of marriage,img2poems
12518,xii,as the thiftless gold of the babul so is the gold that we spend,on a derby sweep or our neighbour's wife or the horse that we buy from a friend,img2poems
12519,xiii,the ways of man with a maid be strange yet simple and tame,to the ways of a man with a horse when selling or racing that same,img2poems
12520,xvii,if we fall in the race though we win the hoof-slide is scarred on the course,though allah and earth pardon sin remaineth for ever remorse,img2poems
12521,we wakeful ah pity us,we must go back with policeman day,back from the city of sleep,img2poems
12522,(who walks by dreams what ghostly wood in search of play,mate slain,until the bells of oxenford ring in the light again,img2poems
12523,unburdened breeze unstricken trees and all god's works re,stored,in this way live the merry clerks -the clerks of oxenford,img2poems
12524,against the bermudas we foundered whereby,this master that swabber yon bo'sun and i,must beg for our bread through old england again,img2poems
12525,out o' the wilderness dusty an' dry,oo is it 'eads to the detail supply,a section a pompom an' six 'undred men,img2poems
12526,'ere comes the clerk with 'is lantern an' keys,surplus of everything draw what you please,for the section the pompom an' six 'undred men,img2poems
12527,what are our orders an' where do we lay,you came after dark you will leave before day,you section you pompom you six' undred men,img2poems
12528,now by the church an' the outspan they wind,over the ridge an' it's all lef' be'ind,for the section etc,img2poems
12529,soon they will camp as the dawn's growin' grey,roll up for coffee an' sleep while they may,the section  etc,img2poems
12530,read their 'ome letters their papers an' such,for they'll move after dark to astonish the dutch,with a section etc,img2poems
12531,'untin' for shade as the long hours pass,blankets on rifles or burrows in grass,lies the section etc,img2poems
12532,dossin' or beatin' a shirt in the sun,watching chameleons or cleanin' a gun,waits the section etc,img2poems
12533,with nothin' but stillness as far as you please,an' the silly mirage stringin' islands an' seas,round the section etc,img2poems
12534,so they strips off their hide an' they grills in their bones,till the shadows crawl out from beneath the pore stones,toward the section etc,img2poems
12535,an' the mauser-bird stops an' the jackals begin,a the 'orse-guard comes up and the gunners 'ook in,as a 'int the pompom an' six 'undred men,img2poems
12536,same bloomin' 'ole which the ant-bear 'as broke,same bloomin' stumble an' same bloomin' joke,down the section etc,img2poems
12537,same tumble-down on the same 'idden farm,same white-eyed kaffir 'oo gives the alarm,of the section etc,img2poems
12538,same shootin' wild at the end o' the night,same flyin'-tackle an' same messy fight,by the section etc,img2poems
12539,same ugly 'iccup an' same 'orrid squeal,when it's too dark to see an' it's too late to feel,in the section etc,img2poems
12540,same splash o' pink on the stoep or the kraal,an' the same quiet face which 'as finished with all,in the section the pompom an' six 'undred men,img2poems
12541,out o' the wilderness dusty an' dry,'oo is it 'eads to the detail supply,a section a pompom an 'six' 'undred men,img2poems
12542,but see now how the blacke road hath,strippen herself of hearte and beauty where the dumbe lampe of,tartarus winketh red etc,img2poems
12543,some one has to kill 'em so,eenee meenee mainee mo,make you it,img2poems
12544,ask the gods for we don't know,but eenee meenee mainee mo,make-us-it,img2poems
12545,this is our cause,god help us and make strong,our will to meet him later unashamed,img2poems
12546,what is lovely never dies,but passes into other loveliness,star-dust or sea-foam flower or winged air,img2poems
12547,softly wordlessly,shadow and light coalesce,emergent being,img2poems
12548,silence of the dawn,sailing in sun speckled sea,gliding into port,img2poems
12549,one can enjoy a wood fire worthily,only when he warms his thoughts by it,as well as his hands and feet,img2poems
12550,study nature love nature,stay close to nature,it will never fail you,img2poems
12551,children have neither past nor future,they enjoy the present,which very few of us do,img2poems
12552,draw if thou canst the mystic line,severing rightly his from thine,which is human which divine,img2poems
12553,if the river was whiskey and i was a divin' duck,i would dive down to the bottom,don't think i'd ever come back up,img2poems
12554,how the mind clings to the road it knows,rushing through crossroads sticking,like lint to the familiar,img2poems
12555,trees reaching high,leaves the colours of rich gold,shadows of small men,img2poems
12556,some things that fly there be,birds hours the bumble-bee,of these no elegy,img2poems
12557,place of silent calm,autumn  tones of gold,walk here in silence,img2poems
12558,profound stillness clouds,and trees collect on the pond,which way up which down,img2poems
12559,i dont want to give up,i just want to give away,these words,img2poems
12560,trees reach to the clouds,golden leaves on branches fall,natures cathedral,img2poems
12561,reaching for the stars,copper gold gifts soon will fall,then the tree can sleep,img2poems
12562,that orbed maiden,with white fire laden,whom mortals call the moon,img2poems
12563,sunshine in my eyes can make me cry,sunshine on the water looks so lovely,sunshine almost always makes me high,img2poems
12564,loveliest of trees,the cherry now,is hung with bloom along the bough,img2poems
12565,the pleasant air and wind,with sacred thoughts do,feed my serious mind,img2poems
12566,snow lands on hemlocks,gentle as falling feathers,turning needles white,img2poems
12567,tango with shadows,each on its own axis spins,dialogue of light,img2poems
12568,after the rain,the wind was up and kept rippling the puddle surface so i'm especially happy that,this one turned out well,img2poems
12569,the ceremony of innocence is drowned,the best lack all conviction while the worst,are full of passionate intensity,img2poems
12570,the flower is about the size of a quarter,this was a very small butterfly,every walk with nature one receives far more than he seeks,img2poems
12571,but maybe prayer is a road to rise,a mountain path leading toward the skies,to assist the spirit who truly tries,img2poems
12572,with an inner voice the river ran,adown it floated a dying swan,and loudly did lament,img2poems
12573,smitten petunia,bitten by a big bunny,into pink pinwheel,img2poems
12574,o yellow eye,let me be sick with your heat,let me be feverish and frowning,img2poems
12575,some leaves hang late,some fall before the first frost,so goes the tale of winter branches and old bones,img2poems
12576,four strong winds that blow lonely,seven seas that run high,all these things that dont change come what may,img2poems
12577,of cloudless climes and starry skies,and all that's best of dark and bright,meets in her aspect and her eyes,img2poems
12578,deep into that darkness peering,long i stood there wondering fearing,doubting dreaming dreams no mortal ever dared to dream before,img2poems
12579,with every song with every breath that you take,i'll give you the moon and the sun,with every beat of my heart i will love you,img2poems
12580,here standing with the unvoyageable sky,in faint reflection of infinitude,stretched overhead,img2poems
12581,you're a grand old flag,you're a high flying flag,and forever in peace may you wave,img2poems
12582,reflecting,like little flames,in the shadow,img2poems
12583,gently from the sky,landing like a sacrament,level and divine,img2poems
12584,i never really look for anything,what god throws my way comes,i wake up in the morning and whichever way god turns my feet i go,img2poems
12585,shadow and pollen,atop mauve crocus petals,bespeak winter's end,img2poems
12586,every one is a moon,and has a dark side which,he never shows to anybody,img2poems
12587,its mouth is wide its neck is narra,it has such long and lofty legs,i'm glad it sits to lay its eggs,img2poems
12588,if this book of mine fails to take a straight course,it is because i am lost in a strange region,i have no map,img2poems
12589,light worships surface,gently unlocking colour,and stepping inside,img2poems
12590,night is falling,at dusk you must have good eyesight,to be able to tell the good lord from the devil,img2poems
12591,all manner of thing shall be well,when the tongues of flame are in-folded,into the crowned knot of fire,img2poems
12592,and that old lace i think falls down,less softly on priscella's gown,than when i wore it,img2poems
12593,lilacs out of the dead land mixing,memory and desire,stirring,img2poems
12594,for every beauty there is an eye somewhere to see it,for every truth there is an ear somewhere to hear it,for every love there is a heart somewhere to receive it,img2poems
12595,yet looks he like a king behold his eye,as bright as is the eagles lightens forth,controlling majesty,img2poems
12596,but soft,what light through yonder window breaks,it is the east and juliet is the sun,img2poems
12597,a living tree that i lied,a giving tree that you lied,shadows know everything,img2poems
12598,the sun,the hearth of affection and life,pours burning love on the delighted earth,img2poems
12599,tea does our fancy aid,repress those vapours which the head invade,and keeps that palace of the soul serene,img2poems
12600,perhaps of twig so fine,of twine e'en superfine,her pride aspires,img2poems
12601,evening is falling,soft sounds of lonely sea,and the dying of the sun,img2poems
12602,i would swim,to you to show to both my loves extreme,leander-like yea dive from brim to brim,img2poems
12603,leaves in the garden,your wet aesthetics give me inspiration,rain in the garden,img2poems
12604,and suddenly,the lungs full of tiny sharp aches,and the air fluttering helplessly,img2poems
12605,and this our life exempt from public haunt,finds tongues in trees books in the running brooks,sermons in stones and good in everything,img2poems
12606,rain in the morning,soft beginning of the day,inviting stillness,img2poems
12607,where once the waters of your face,spun to my screws,your dry ghost blows,img2poems
12608,don't leave my hyper heart alone on the water,cover me in rag and bone sympathy,'cos i don't wanna get over you,img2poems
12609,such sheets of fire,such bursts of horrid thunder,such groans of roaring wind and rain,img2poems
12610,always dream and shoot higher than you know you can do,don't bother just to be better than your contemporaries or predecessors,try to be better than yourself,img2poems
12611,the cattle are grazing,their heads never raising,there are forty feeding like one,img2poems
12612,the church says that the earth is flat,but i know that it is round,for i have seen the shadow on the moon and i have more faith in the shadow than in the church,img2poems
12613,in this world of change,nothing which comes stays,and nothing which goes is lost,img2poems
12614,music hath charms to soothe a savage breast,to soften rocks,or bend a knotted oak,img2poems
12615,an idea,like a ghost,must be spoken to a little before it will explain itself,img2poems
12616,light is a thing that cannot be reproduced,but must be represented by something else,by color,img2poems
12617,when i admire the wonder of a sunset,or the beauty of the moon,my soul expands in worship of the creator,img2poems
12618,drifting leaves,in the autumn air,farewell song,img2poems
12619,shed no tear,no shed no tear,the flow'r will bloom another year,img2poems
12620,the bell strikes one,we take no note of time,but from its loss,img2poems
12621,dying of the leaves,forest of changing colours,silence of the trees,img2poems
12622,is fairer far in may,although it fall and die that night,it was the plant of flower and light,img2poems
12623,if i could make days last forever,i'd save every day like a treasure and then,i would spend them with you,img2poems
12624,she reminded me that the world was really one bee yard and the same rules work fine in both places,don't be afraid,as no life loving bee wants to sting you don't swat  don't ever think about swatting,img2poems
12625,you are responsible forever,for what you have tamed,you are responsible for your rose,img2poems
12626,the conch of my heart,repeats the jangle of foam,nudged apart silverly  dims,img2poems
12627,hearts will never be practical,until they are made,unbreakable,img2poems
12628,the bicycle,the bicycle surely,should always be the vehicle of novelists and poets,img2poems
12629,my thought,the tree would never wither,was wrong,img2poems
12630,cape hatteras national seashore north carolina,a certain minor light may still,leap incandescent,img2poems
12631,bees are black,with gilt surcingles,buccaneers of buzz,img2poems
12632,i would rather sit on a pumpkin,and have it all to myself,than be crowded on a velvet cushion,img2poems
12633,a violinist had a violin a painter his palette,all i had was myself,i was the instrument that i must care for,img2poems
12634,like music in his heart,his constant waking dream,navigating air,img2poems
12635,yellow butterflies,look like flowers flying through,the warm summer air,img2poems
12636,when i had no eyes i listened,when i had no ears i thought,when i had no thought i waited,img2poems
12637,there are so many lines killing tenderness,and so many dimmed lights,not whispering of love,img2poems
12638,there are so many lines killing tenderness,and so many dimmed lights,not whispering of love,img2poems
12639,there are so many lines killing tenderness,and so many dimmed lights,not whispering of love,img2poems
12640,shadow of the shadows,i live in the shadow of the shadows,i live and i dream in your shadows,img2poems
12641,the moon,will develop in the sky,like a pearl,img2poems
12642,an idea is a point of departure and no more,as soon as you elaborate it,it becomes transformed by thought,img2poems
12643,on a cold autumn day,my heart is drenched in wine,as i walk in fields of red,img2poems
12644,a miniature flipflop found on the side of the road,it would fit in the palm of my hand,some toddler out there is missing one shoe,img2poems
12645,to analyze the charms of flowers is like dissecting music,it is one of those things which it is far better to enjoy,than to attempt to fully understand,img2poems
12646,in the first of the moon,alls a scattering,a shining,img2poems
12647,the middle of nowhere,surrounded by the crowd of mr amp mrs nobody,getting ready for the bigtime holidays,img2poems
12648,footfalls echo in the memory,down the passage which we did not take,towards the door we never opened,img2poems
12649,oh god i hope it's something beautiful wonderful,i shelter from the storm inside of me,it's a peculiar warm,img2poems
12650,even as fog continues to lie in the valleys,so does ancient sin cling to the low places,the depressions in the world consciousness,img2poems
12651,although glad for the grain we are,aware of the husk,and winter closes on us like a shroud,img2poems
12652,every place  every thing  every house today is celebrating,today everything is bright  cheerful  a chimera,today is the feast of spring,img2poems
12653,fly free and happy beyond birthdays and across forever,and we'll meet now and then when we wish,in the midst of the one celebration that never can end,img2poems
12654,the sun shines not on us  but in us,the rivers flow not past,but through us,img2poems
12655,falling leaves,hide the path,so quietly,img2poems
12656,out-stretched for flight,little wings are brushed,by a hazy summer sun,img2poems
12657,at sunset we sat,you and me quietly there,breathing in and out,img2poems
12658,i pray you'll be our eyes and watch us where we go,and help us to be wise in times when we don't know,let this be our prayer when we lose our way,img2poems
12659,to see the summer sky,is poetry though never in a book it lie,true poems flee,img2poems
12660,in nine lifetimes,you'll never know as much about your cat as,your cat knows about you,img2poems
12661,the vision must be followed by the venture,it is not enough to stare up the steps,we must step up the stairs,img2poems
12662,for all my life's sleeplesness has woven,this shelter in the grove where your hand lives and flies,watching over the night of the sleeping traveler,img2poems
12663,there is no end,there is no beginning,there is only the passion of life,img2poems
12664,we may run walk stumble drive or fly,but let us never lose sight of the reason for the journey,or miss a chance to see a rainbow on the way,img2poems
12665,light-enchanted sunflower thou,who gazest ever true and tender,on the sun's revolving splendour,img2poems
12666,today she learned that fairies are naughty,she used to wish to be a fairy in the woods,now she know that fairies are evil and she's one of them,img2poems
12667,unsought and unheard,music falling into feeling,like rain in wind,img2poems
12668,see no evil,hear no evil,speak no evil,img2poems
12669,what climbs the stair,nothing that common women ponder on,if you are worth my hope,img2poems
12670,falling leaves,hide the path,so quietly,img2poems
12671,when light appears upside down,and darkness obove,the master is dancing,img2poems
12672,enchained in dwindling light,thoughts like grapes in winter,sing summer's refrain,img2poems
12673,stray birds of summer come to my window to sing and fly away,and yellow leaves of autumn which have no songs flutter and,fall there with a sigh,img2poems
12674,i think he'll be to rome,as is the osprey to the fish who takes it,by soverneignty of nature,img2poems
12675,paris' evening,a bird trapped,in its charms,img2poems
12676,a walking shadow a poor player,that struts and frets his hour upon the stage,and then is heard no more,img2poems
12677,its mouth opens four times,as out-of-date as a prehistoric monster,yet somehow man-made,img2poems
12678,green is a solace,a promise of peace a fort,against the cold,img2poems
12679,nothing is wasted,nothing is in vain,the seas roll over but the rocks remain,img2poems
12680,trees are poems that earth writes upon the sky,we fell them down and turn them into paper,that we may record our emptiness,img2poems
12681,i look at you,and see myself,under the surface,img2poems
12682,may you have the gladness of christmas which is hope,the spirit of christmas which is peace,the heart of christmas which is love,img2poems
12683,it is late in an afternoon,more grey with snow to fall,than white with fallen snow,img2poems
12684,my bounty is as boundless as the sea,my love as deep the more i give thee,the more i have for both are infinite,img2poems
12685,on with the dance let joy be unconfined,no sleep till morn when youth and pleasure meet,to chase the glowing hours with flying feet,img2poems
12686,for all passers by,roses leave love letters,just lying around,img2poems
12687,dancing the breeze,drinking the light,softly,img2poems
12688,these are the days when skies resume,the old - old sophistries of june,a blue and gold mistake,img2poems
12689,yon foaming flood seems motionless as ice,its dizzy turbulence eludes the eye,frozen by distance,img2poems
12690,our hope for years to come,our shelter from the stormy blast,and our eternal home,img2poems
12691,between teeth and tongue,red planet bursting luscious,supernova sweet,img2poems
12692,and as long as my heart will beat,sweet lover we'll always meet,here in my deep purple dreams,img2poems
12693,in her smile the heat of the sun,in her eyes the light of dawn,in her colors the world irradiated,img2poems
12694,our street after the rain,core of my heart my country,land of the rainbow gold,img2poems
12695,dawn leaves,morning light,life,img2poems
12696,the things you do not have to say make you rich,saying the things you do not have to say weakens your talk,hearing the things you do not need to hear dulls your hearing,img2poems
12697,let us go then you and i,when the evening is spread out against the sky,like a patient etherized upon a table,img2poems
12698,wishing and wanting,to see you,i step on thin ice,img2poems
12699,someone walk a mile in their shoes,then when you do criticize them,you'll be a mile away and you'll have their shoes,img2poems
12700,still part of the whole,or already forgotten,without a meaning,img2poems
12701,silent day breaking,saffron yolk of light running,pushing the shadows,img2poems
12702,shedding energy,small birdquake oscillating,resonating light,img2poems
