,0,1,2,haiku,lang
8662,summer firelight,the memory of a dog,nuzzles my hand,"summer firelight
the memory of a dog
nuzzles my hand",en
8664,for a moment,the heat is so cold,deep south,"for a moment
the heat is so cold
deep south",en
8666,spent candle,reading the last page,by first light,"spent candle
reading the last page
by first light",en
8668,restless dreams,but there you are,morning sky,"restless dreams
but there you are
morning sky",en
8670,seed catalog,the colours of,a winter daydream,"seed catalog
the colours of
a winter daydream",en
8672,sacred ground,a bumblebee tastes,every poppy,"sacred ground
a bumblebee tastes
every poppy",en
8674,morning fog,only the duck's cry,passes overhead,"morning fog
only the duck's cry
passes overhead",en
8676,just after midnight,sounds become heartbeats,coyote song,"just after midnight
sounds become heartbeats
coyote song",en
8677,running home,an empty mind,full of jasmine,"running home
an empty mind
full of jasmine",en
8679,frog by frog,the marsh erupts,with dusk,"frog by frog
the marsh erupts
with dusk",en
8681,after the cranes,the sky refills,with silence,"after the cranes
the sky refills
with silence",en
8683,prairie afternoon,the grassy taste,of every breath,"prairie afternoon
the grassy taste
of every breath",en
8685,outgoing tide,what sand remembers,of night,"outgoing tide
what sand remembers
of night",en
8687,forest trail,my thoughts meander,the fragrances ,"forest trail
my thoughts meander
the fragrances ",en
8688,just where,creek becomes river,the rain begins,"just where
creek becomes river
the rain begins",en
8690,on the edge,of almost too far,crushed chili pepper,"on the edge
of almost too far
crushed chili pepper",en
8692,picket fence,i bury my cat,on the sunny side,"picket fence
i bury my cat
on the sunny side",en
8694,all the quiet,gone from the pond,first bullfrog,"all the quiet
gone from the pond
first bullfrog",en
8696,between sunrise,and my bed,an owl flies home,"between sunrise
and my bed
an owl flies home",en
8698,seed catalog,the colours of,a winter daydream,"seed catalog
the colours of
a winter daydream",en
8702,cabin walls ,feeling my way through,a wilderness night,"cabin walls 
feeling my way through
a wilderness night",en
8704,against my skin,the roughness of firewood,hoar frost,"against my skin
the roughness of firewood
hoar frost",en
8706,twilight,a cricket's ,sudden silence,"twilight
a cricket's 
sudden silence",en
8708,river fog,stretching to sunrise,the voices of ducks,"river fog
stretching to sunrise
the voices of ducks",en
8710,abandoned house,a windowsill heavy,with cactus bones,"abandoned house
a windowsill heavy
with cactus bones",en
8712,a dog howls,the river darker . . ,one last beer,"a dog howls
the river darker . . 
one last beer",en
8714,just west of dawn,an earful of geese,heading south,"just west of dawn
an earful of geese
heading south",en
8716,the grey sound,of a boat's emptiness,cold dawn rain,"the grey sound
of a boat's emptiness
cold dawn rain",en
8718,on the morning side,of the river's end,rising star,"on the morning side
of the river's end
rising star",en
8720,puddles of sky,a child's first step,in the clouds,"puddles of sky
a child's first step
in the clouds",en
8722,moving day,my shadow by the pond,one last time,"moving day
my shadow by the pond
one last time",en
8724,growth rings,a child sings her way,around a tree,"growth rings
a child sings her way
around a tree",en
8726,my missing pen,the cat pretends sleep,on a winter's eve,"my missing pen
the cat pretends sleep
on a winter's eve",en
8728,unknowns,waiting for the wind,to cry again,"unknowns
waiting for the wind
to cry again",en
8730,sunday eve,the blues moan softly,across the pond,"sunday eve
the blues moan softly
across the pond",en
8732,storm clouds,billowing in the wind,a stranger's coat,"storm clouds
billowing in the wind
a stranger's coat",en
8734,deep canyon,the grand voice,of a tiny wren,"deep canyon
the grand voice
of a tiny wren",en
8736,desert night,a constellation of tents,glows yellow,"desert night
a constellation of tents
glows yellow",en
8738,smoke on the wind,midnight's every breath,tastes of fire,"smoke on the wind
midnight's every breath
tastes of fire",en
8740,grey autumn day,knowing when it's time,in my bones,"grey autumn day
knowing when it's time
in my bones",en
8742,where trees bloom,with egrets at dusk,the quiet sky,"where trees bloom
with egrets at dusk
the quiet sky",en
8744,at the deep end,of a winter day,birdsong,"at the deep end
of a winter day
birdsong",en
8746,bark beetles,in the Ponderosa pine,these gnawing doubts,"bark beetles
in the Ponderosa pine
these gnawing doubts",en
8748,a famished mallard,has emigrated,to the city zoo,"a famished mallard
has emigrated
to the city zoo",en
8750,blackout --,how bright Mars shines,this summer night!,"blackout --
how bright Mars shines
this summer night!",en
8752,skyscraper,a window-washer squeegees,the thunderhead,"skyscraper
a window-washer squeegees
the thunderhead",en
8754,insomnia,the mouse,has it too,"insomnia
the mouse
has it too",en
8756,afternoon rain-,a neighbor opening her curtains,too,"afternoon rain-
a neighbor opening her curtains
too",en
8778,in the cathedral,kneeling,photographer ,"in the cathedral
kneeling
photographer ",en
8811,as soon as the sun,lights up the busse's window,this mosquito get worked up,"as soon as the sun
lights up the busse's window
this mosquito get worked up",en
8813,hardly half,the moon upright,clear november sky,"hardly half
the moon upright
clear november sky",en
8815,leaves stir,on the pavement,full moon soon,"leaves stir
on the pavement
full moon soon",en
8817,through Caroline street,with four artichokes -,dripping nose,"through Caroline street
with four artichokes -
dripping nose",en
8819,sleeping,beside the gold fish -,november full moon ,"sleeping
beside the gold fish -
november full moon ",en
8833,High tide,oil reaching,new heights,"High tide
oil reaching
new heights",en
8835,End of the year,sweeping out flies,from the balcony,"End of the year
sweeping out flies
from the balcony",en
8836,Full moon night -,the shape of the mannequins' breasts,in the shop-window,"Full moon night -
the shape of the mannequins' breasts
in the shop-window",en
8843,New-York September,the one-way sign points towards,the billowing cloud,"New-York September
the one-way sign points towards
the billowing cloud",en
8847,gardens' gates,closed on,to the waters ,"gardens' gates
closed on
to the waters ",en
8853,nobody sees,the red persimmons in the,abandoned garden ,"nobody sees
the red persimmons in the
abandoned garden ",en
8854,hurry up,to cross the trail,reckless snail !,"hurry up
to cross the trail
reckless snail !",en
8857,Twilight -,fireflies lighting up,the old oak.,"Twilight -
fireflies lighting up
the old oak.",en
8859,Melanoma -,the warrior's last,combat zone.,"Melanoma -
the warrior's last
combat zone.",en
8861,Third winter,without you -,the howling wind.,"Third winter
without you -
the howling wind.",en
8863,little masks on ...,the ice-cream truck,only blocks away,"little masks on ...
the ice-cream truck
only blocks away",en
8865,alone together,another glass of wine,the color of bruises ,"alone together
another glass of wine
the color of bruises ",en
8866,quarantined,laughter of newlyweds,next door,"quarantined
laughter of newlyweds
next door",en
8868,midnight...,tulips in a water glass,touching,"midnight...
tulips in a water glass
touching",en
8870,eyes red,nostrils puffing smoke,all night poker,"eyes red
nostrils puffing smoke
all night poker",en
8872,frigid night,the chimney belches heat,from his love letters,"frigid night
the chimney belches heat
from his love letters",en
8874,garden party,a sound crew checks,the microphone,"garden party
a sound crew checks
the microphone",en
8876,afternoon break — ,the hooker savors a hotdog ,before the evening rush,"afternoon break — 
the hooker savors a hotdog 
before the evening rush",en
8878,steamy sex,in the church parking lot --,amazing Grace,"steamy sex
in the church parking lot --
amazing Grace",en
8880,"hey, the red bikini",coming out of the water,-- eleven o'clock ,"hey, the red bikini
coming out of the water
-- eleven o'clock ",en
8881,in the attic,grandpa's rabbit's foot,and Purple Heart ,"in the attic
grandpa's rabbit's foot
and Purple Heart ",en
8882,grandma’s brassiere,on the clothesline,perky in the breeze,"grandma’s brassiere
on the clothesline
perky in the breeze",en
8884,morning coffee -,familiar pleasure,in each other's eye,"morning coffee -
familiar pleasure
in each other's eye",en
8886,at the club,line dancing outside,the ladies room ,"at the club
line dancing outside
the ladies room ",en
8887,house renovation -,the magic mushrooms,he hid 25 years ago,"house renovation -
the magic mushrooms
he hid 25 years ago",en
8889,midnight ...,a cricket's falsetto,from the lingerie drawer,"midnight ...
a cricket's falsetto
from the lingerie drawer",en
8891,the last dance -,her cheap perfume,don't matter,"the last dance -
her cheap perfume
don't matter",en
8893,farm stand ...,he squeezes the melons,she checks the zucchini,"farm stand ...
he squeezes the melons
she checks the zucchini",en
8895,almost home,pausing by the pond,to reflect,"almost home
pausing by the pond
to reflect",en
8897,day's end --,a cloud of fireflies,in the field,"day's end --
a cloud of fireflies
in the field",en
8899,autumn chill . . .,the distant whistle,of the evening train,"autumn chill . . .
the distant whistle
of the evening train",en
8901,the earth softened ...,we planted tulips,when he loved me,"the earth softened ...
we planted tulips
when he loved me",en
8903,winter rain --,one flowered umbrella,at the funeral,"winter rain --
one flowered umbrella
at the funeral",en
8905,the coastal road...,spinnakers fill,with sunset,"the coastal road...
spinnakers fill
with sunset",en
8907,he kissed me,on the fourth of july,fireworks!!,"he kissed me
on the fourth of july
fireworks!!",en
8909,old teahouse --,a swear word from,the green parrot,"old teahouse --
a swear word from
the green parrot",en
8911,good news,the headlines blurred,in morning rain,"good news
the headlines blurred
in morning rain",en
8913,almost dawn . . .,thoughts of you,when we were us,"almost dawn . . .
thoughts of you
when we were us",en
8915,rainbow flags ...,the haunting sounds,of amazing grace,"rainbow flags ...
the haunting sounds
of amazing grace",en
8917,boyhood friends,home once again --,side by side,"boyhood friends
home once again --
side by side",en
8919,husband gone-,his watch ticks it's last tock,at her garage sale ,"husband gone-
his watch ticks it's last tock
at her garage sale ",en
8920,first date --,wondering if the hat,is too much,"first date --
wondering if the hat
is too much",en
8922,afternoon tryst ...,thunder bangs overhead,in the sticky heat,"afternoon tryst ...
thunder bangs overhead
in the sticky heat",en
8924,closet renovation--,removing all her clothes,she nails the carpenter,"closet renovation--
removing all her clothes
she nails the carpenter",en
8926,steamy sex,in the church parking lot -,amazing Grace ,"steamy sex
in the church parking lot -
amazing Grace ",en
8927,the pastor's daughter,her Sunday dress,the color of bruises,"the pastor's daughter
her Sunday dress
the color of bruises",en
8929,carousel music ?,i still see my brother,on the painted pony,"carousel music ?
i still see my brother
on the painted pony",en
8931,husband at work ?,the mailman knocks,to see the newborn,"husband at work ?
the mailman knocks
to see the newborn",en
8933,hail storm,rearranging gravel,in the Zen garden,"hail storm
rearranging gravel
in the Zen garden",en
8935,winter rain --,a flowered umbrella,at the funeral,"winter rain --
a flowered umbrella
at the funeral",en
8937,late night date,sand in her bra,all day long,"late night date
sand in her bra
all day long",en
8939,Sunday brunch,his eyes on the crumb,kissing her cleavage ,"Sunday brunch
his eyes on the crumb
kissing her cleavage ",en
8940,morning overcast--,she adds more blush ,to her cheeks,"morning overcast--
she adds more blush 
to her cheeks",en
8942,sudden hail--,we sip bitter coffee,rehashing last night,"sudden hail--
we sip bitter coffee
rehashing last night",en
8944,tasting,the freckle on her cleavage,with my eyes,"tasting
the freckle on her cleavage
with my eyes",en
8946,rummage sale --,her husband in the chair,not worth keeping,"rummage sale --
her husband in the chair
not worth keeping",en
8948,garage sale --,the flowered couch on which ,I became a woman,"garage sale --
the flowered couch on which 
I became a woman",en
8950,arguing downstairs --,she shuts the windows,in her doll house,"arguing downstairs --
she shuts the windows
in her doll house",en
8952,meditating and ,resplendent in sunlight--,she finally swats the fly,"meditating and 
resplendent in sunlight--
she finally swats the fly",en
8954,first snow . . .,next to the new calendar,a clean slate,"first snow . . .
next to the new calendar
a clean slate",en
8956,train whistle . . .,palm prints linger,against the glass,"train whistle . . .
palm prints linger
against the glass",en
8958,wedding anniversary--,"my parent's ashes, together",in the moonlight,"wedding anniversary--
my parent's ashes, together
in the moonlight",en
8960,surprise sneeze,the dandelion blows away,without a wish,"surprise sneeze
the dandelion blows away
without a wish",en
8962,seasons stilled--,a red paper poppy,in memoriam,"seasons stilled--
a red paper poppy
in memoriam",en
8964,an ancient path,in a sky without time,departing geese,"an ancient path
in a sky without time
departing geese",en
8966,her Sunday dress,the color of bruises,merging,"her Sunday dress
the color of bruises
merging",en
8968,Saturday night,the sound of weeping,seeps from the wall,"Saturday night
the sound of weeping
seeps from the wall",en
8970,before dinner...,the spider and a fly,share the sunset,"before dinner...
the spider and a fly
share the sunset",en
8972,he kissed me,on the fourth of july,fireworks!,"he kissed me
on the fourth of july
fireworks!",en
8974,crossroads,the brown core,of an apple,"crossroads
the brown core
of an apple",en
8976,lifting fog,the face of an old friend,on my morning walk,"lifting fog
the face of an old friend
on my morning walk",en
8978,daybreak ...,still sipping bitter coffee,we rehash last night,"daybreak ...
still sipping bitter coffee
we rehash last night",en
8980,stars at dusk,a spray of willow buds,by the gate,"stars at dusk
a spray of willow buds
by the gate",en
8982,requiem mass -,flecks of dust drift,in stifling air,"requiem mass -
flecks of dust drift
in stifling air",en
8984,tense meeting --,my chewing gum,out of flavor,"tense meeting --
my chewing gum
out of flavor",en
8986,inhaling spring -,her new breast,two months old,"inhaling spring -
her new breast
two months old",en
8988,morning rush,he finds a half red kiss,on his coffee cup,"morning rush
he finds a half red kiss
on his coffee cup",en
8990,never in darkness,ground zero lights the night,New Year's Eve,"never in darkness
ground zero lights the night
New Year's Eve",en
8992,moonless night -,the bell buoy,talks to itself,"moonless night -
the bell buoy
talks to itself",en
8994,morning tea,he cups his hands,around the glass,"morning tea
he cups his hands
around the glass",en
8996,winter solstice,candle too short,for lingering night,"winter solstice
candle too short
for lingering night",en
8998,dying afternoon light,the doctor touches her,uncombed hair,"dying afternoon light
the doctor touches her
uncombed hair",en
9000,snail mail,delivered,in the cold rain,"snail mail
delivered
in the cold rain",en
9002,mother and daughter,chess game --,two queens,"mother and daughter
chess game --
two queens",en
9004,haiku conference --,lecturer delivers address,in three short sentences,"haiku conference --
lecturer delivers address
in three short sentences",en
9006,haiku moment --,she writes her number,on his napkin,"haiku moment --
she writes her number
on his napkin",en
9008,against the glass -,her palm prints,linger,"against the glass -
her palm prints
linger",en
9010,nude beach,about size,and sighs,"nude beach
about size
and sighs",en
9012,on her nape,beads of rain,slowly I follow them down,"on her nape
beads of rain
slowly I follow them down",en
9014,kitchen encounter ~,tasting the wine,from his lips,"kitchen encounter ~
tasting the wine
from his lips",en
9016,summer sidewalk -,drops of rain,steam,"summer sidewalk -
drops of rain
steam",en
9018,water bed,dreams,undulating,"water bed
dreams
undulating",en
9020,thunder,slate sky,crocus peeking,"thunder
slate sky
crocus peeking",en
9022,waiting room,a spider hangs,on silence,"waiting room
a spider hangs
on silence",en
9024,hospital room,the empty chair   takes,all the sunshine,"hospital room
the empty chair   takes
all the sunshine",en
9026,slipping in,beneath the kitchen door,-first sunlight,"slipping in
beneath the kitchen door
-first sunlight",en
9028,paper moon-,falling off almost,this argument of mine,"paper moon-
falling off almost
this argument of mine",en
9030,winter rain-,colder than ever,this bowl of rice,"winter rain-
colder than ever
this bowl of rice",en
9032,"Fog on the mountain,","Rain tapping the window pane,","Cup of tea, steaming.","Fog on the mountain,
Rain tapping the window pane,
Cup of tea, steaming.",en
9034,my mother cries,on the other end of the phone,hard rain,"my mother cries
on the other end of the phone
hard rain",en
9036,mountain chapel,the rain-washed,bones of a sheep,"mountain chapel
the rain-washed
bones of a sheep",en
9038,weight that shifts,with the news of a death,storm light ,"weight that shifts
with the news of a death
storm light ",en
9039,this slow healing,a blackbird almost invisible ,in the winter dusk,"this slow healing
a blackbird almost invisible 
in the winter dusk",en
9041,bonfire smoke,we talk about,our disappointments,"bonfire smoke
we talk about
our disappointments",en
9043,edge of sleep,turning the pillow,for the cold side,"edge of sleep
turning the pillow
for the cold side",en
9045,new bookshelves,the poetry my cat finds,in an empty box,"new bookshelves
the poetry my cat finds
in an empty box",en
9047,croissant crumbs,I try and find,the right words,"croissant crumbs
I try and find
the right words",en
9049,summer rainstorm,the balloon man,sells umbrellas,"summer rainstorm
the balloon man
sells umbrellas",en
9051,sunset,the fisherman's silhouette,edged with light,"sunset
the fisherman's silhouette
edged with light",en
9053,three sneezes,all that's left,of the snowman,"three sneezes
all that's left
of the snowman",en
9055,the cat shifts,from sunspot to sunspot,Sunday morning,"the cat shifts
from sunspot to sunspot
Sunday morning",en
9057,making soup,my hands could be,my mother's hands,"making soup
my hands could be
my mother's hands",en
9059,awake too early,trees shrouded in mist,the slow tick of a clock,"awake too early
trees shrouded in mist
the slow tick of a clock",en
9061,the damp stain on the wall,only looks like a damp stain -,Monday morning,"the damp stain on the wall
only looks like a damp stain -
Monday morning",en
9063,sunset over the sea,I remember when my mother,ran faster than me,"sunset over the sea
I remember when my mother
ran faster than me",en
9065,again this year,the wind-sown poppies,flower between stones,"again this year
the wind-sown poppies
flower between stones",en
9067,empty cafe,the tip jar fills,with rain,"empty cafe
the tip jar fills
with rain",en
9069,my stories,getting better and better,four fingers of scotch,"my stories
getting better and better
four fingers of scotch",en
9071,turning seventy,i walk outside to see it,the almost full moon,"turning seventy
i walk outside to see it
the almost full moon",en
9073,thanksgiving,my mind wanders,to my dead brother ,"thanksgiving
my mind wanders
to my dead brother ",en
9074,crescent moon,just enough light,for this path,"crescent moon
just enough light
for this path",en
9076,warm rain on the pond,my thoughts rise,with the koi,"warm rain on the pond
my thoughts rise
with the koi",en
9078,the red maple-,striptease,in the driveway,"the red maple-
striptease
in the driveway",en
9080,sunny afternoon,an old man lingers,near the mailbox,"sunny afternoon
an old man lingers
near the mailbox",en
9082,mountain stream,   two well placed rocks,the path home,"mountain stream
   two well placed rocks
the path home",en
9084,winter clouds,seem to move slower too,in the cold night,"winter clouds
seem to move slower too
in the cold night",en
9086,it happened,just after the full moon,snow,"it happened
just after the full moon
snow",en
9088,in the dry grass,frost appears,on the fallen pears,"in the dry grass
frost appears
on the fallen pears",en
9090,autumn breakfast,the last mosquito's hover,over my campfire,"autumn breakfast
the last mosquito's hover
over my campfire",en
9094,summer's end-,a cool rain slides,down the hollyhocks,"summer's end-
a cool rain slides
down the hollyhocks",en
9096,summer's end,my hand lingers,in the dry grass,"summer's end
my hand lingers
in the dry grass",en
9098,dandelion seeds,  ai r  b  o   r   n,     in a cool breeze,"dandelion seeds
  ai r  b  o   r   n
     in a cool breeze",en
9100,Shivering,in the cold spring air.,  Plum blossoms!,"Shivering
in the cold spring air.
  Plum blossoms!",en
9102,along the road,shape of a willow,conforms to the trucks,"along the road
shape of a willow
conforms to the trucks",en
9104,obituary,a child's face,smiles from the page,"obituary
a child's face
smiles from the page",en
9106,sunset,fisherman rests,river flows on,"sunset
fisherman rests
river flows on",en
9110,puddle,from last nights rain,reflects the clouds,"puddle
from last nights rain
reflects the clouds",en
9112,the moon fills,the empty tea cup,colder now,"the moon fills
the empty tea cup
colder now",en
9114,a new cross,in the pauper's cemetery ,plastic roses,"a new cross
in the pauper's cemetery 
plastic roses",en
9116,wild horses ,graze the dry grass,dusting of snow,"wild horses 
graze the dry grass
dusting of snow",en
9118,haze of gnats,around the porch light,milky way ,"haze of gnats
around the porch light
milky way ",en
9119,blood moon rises,over the adobe wall,scent of red chile,"blood moon rises
over the adobe wall
scent of red chile",en
9121,plastic bags,trapped on barbed wire ,roadside cross,"plastic bags
trapped on barbed wire 
roadside cross",en
9123,blackberry brambles,along the road,blues on the radio ,"blackberry brambles
along the road
blues on the radio ",en
9124,in spite of,bombs and lies,wildflowers,"in spite of
bombs and lies
wildflowers",en
9126,cloudless sky,a red kite ,fades into the distance,"cloudless sky
a red kite 
fades into the distance",en
9128,mid december ,candles line the window sill ,silent night,"mid december 
candles line the window sill 
silent night",en
9130,applesauce,bubbles on the stove,november morning,"applesauce
bubbles on the stove
november morning",en
9132,corn stubble,rustles in the breeze ,autumn equinox ,"corn stubble
rustles in the breeze 
autumn equinox ",en
9133,graduates,hurry across the stage,dandelion seeds ,"graduates
hurry across the stage
dandelion seeds ",en
9134,Indian ponies,behind barbed wire,gathering clouds ,"Indian ponies
behind barbed wire
gathering clouds ",en
9135,plastic bag ,trapped in a tree,flight cancelled,"plastic bag 
trapped in a tree
flight cancelled",en
9137,paupers' cemetery ,only the clouds,come and go,"paupers' cemetery 
only the clouds
come and go",en
9139,jars filled with buttons,a journal,the things she left behind,"jars filled with buttons
a journal
the things she left behind",en
9141,midday heat,puddles tighten,around tadpoles,"midday heat
puddles tighten
around tadpoles",en
9143,desert sunrise,following tracks,that follow tracks,"desert sunrise
following tracks
that follow tracks",en
9145,frigid night,the homeless girl’s,naked doll,"frigid night
the homeless girl’s
naked doll",en
9147,camouflage,makes him invisible,homeless vet,"camouflage
makes him invisible
homeless vet",en
9149,housing projects,the uphill struggle,of a freight train,"housing projects
the uphill struggle
of a freight train",en
9151,far from home,an airplane’s trip ,through the Big Dipper,"far from home
an airplane’s trip 
through the Big Dipper",en
9153,prairie lands,the wind blown edges,of tombstones,"prairie lands
the wind blown edges
of tombstones",en
9155,night bus,the emptiness ,well lit,"night bus
the emptiness 
well lit",en
9157,dividing the orchard,from the graveyard,old country road,"dividing the orchard
from the graveyard
old country road",en
9159,closing time,empty bottles,empty faces,"closing time
empty bottles
empty faces",en
9161,fish market,mackerels gaze,to the heavens,"fish market
mackerels gaze
to the heavens",en
9163,mountain road,the twists and turns,in her story,"mountain road
the twists and turns
in her story",en
9165,cloud drifts,the open mouth ,of a water snake,"cloud drifts
the open mouth 
of a water snake",en
9167,summer’s end,I unpack,the smell of the sea,"summer’s end
I unpack
the smell of the sea",en
9169,coffee house date,her choice of decaf,says it all,"coffee house date
her choice of decaf
says it all",en
9171,rain darkens,the small headstone,Mother’s Day,"rain darkens
the small headstone
Mother’s Day",en
9173,Roosevelt's statue,leading the cherry blossoms - ,Cold April rain. ,"Roosevelt's statue
leading the cherry blossoms - 
Cold April rain. ",en
9175,sugar for the tea,behind the bowl,a line of ants,"sugar for the tea
behind the bowl
a line of ants",en
9177,fire ant mound,against the flower pot,after the rain,"fire ant mound
against the flower pot
after the rain",en
9179,the Big Dipper—,rows of corn connect,farm to farm,"the Big Dipper—
rows of corn connect
farm to farm",en
9181,autumn chill -,the silence,of the bee hive,"autumn chill -
the silence
of the bee hive",en
9183,cloudy skies -,different shades of shadow,in the cauliflower,"cloudy skies -
different shades of shadow
in the cauliflower",en
9185,tai chi,slicing the morning mist,in quarters,"tai chi
slicing the morning mist
in quarters",en
9187,the therapist says nothing,I haven't told myself -,rainless clouds,"the therapist says nothing
I haven't told myself -
rainless clouds",en
9189,late night at the airport,the shoe shine man,polishes his own shoes,"late night at the airport
the shoe shine man
polishes his own shoes",en
9191,Buenos Aires tango,at the end of an alley,the Big Dipper,"Buenos Aires tango
at the end of an alley
the Big Dipper",en
9193,hot summer day,a bowl of picked berries,without sugar,"hot summer day
a bowl of picked berries
without sugar",en
9195,beach house -,unlocking the gate,to the ocean,"beach house -
unlocking the gate
to the ocean",en
9197,in and out,of the haiku lesson -,the fragrance of the lilies,"in and out
of the haiku lesson -
the fragrance of the lilies",en
9199,open window,the moon's reflection,in the toilet bowl,"open window
the moon's reflection
in the toilet bowl",en
9201,jogging at dusk,around the neighborhood,the smell of garlic,"jogging at dusk
around the neighborhood
the smell of garlic",en
9203,waiting,for the rice to boil,winter moon,"waiting
for the rice to boil
winter moon",en
9205,to the headstone,old footsteps frozen,in old snow,"to the headstone
old footsteps frozen
in old snow",en
9207,Japanese New Year,how small the new moon,in its halo,"Japanese New Year
how small the new moon
in its halo",en
9209,covered by snow,like the other stones,little Buddha,"covered by snow
like the other stones
little Buddha",en
9211,In his coffin,still,the chin wart,"In his coffin
still
the chin wart",en
9215,Near dusk,a flash of gold,in the heron's beak,"Near dusk
a flash of gold
in the heron's beak",en
9217,Dead robin -- ,its breast still,burning red.,"Dead robin -- 
its breast still
burning red.",en
9219,Buddhist temple-,even here smart phones,do the cha cha cha.,"Buddhist temple-
even here smart phones
do the cha cha cha.",en
9221,Not so good,for all the fish,Good Friday,"Not so good
for all the fish
Good Friday",en
9223,St. Patrick's Day,in front of the pub,yellow pouring out of the daffodils,"St. Patrick's Day
in front of the pub
yellow pouring out of the daffodils",en
9225,At rest,in the crow's nest,crescent moon,"At rest
in the crow's nest
crescent moon",en
9227,In Morse code,the woodpecker,announces spring,"In Morse code
the woodpecker
announces spring",en
9229,On the Ferris wheel,reaching up,to stroke the moon ,"On the Ferris wheel
reaching up
to stroke the moon ",en
9230,egg moon —,she tries another,pregnancy stick ,"egg moon —
she tries another
pregnancy stick ",en
9231,drenched in mist,the white-faced heron,shorter,"drenched in mist
the white-faced heron
shorter",en
9233,her empty nursery . . .,a sudden breeze lifts,the floral curtains ,"her empty nursery . . .
a sudden breeze lifts
the floral curtains ",en
9234,yesterday’s funeral,the lingering scent,of mother’s lilies,"yesterday’s funeral
the lingering scent
of mother’s lilies",en
9236,no water,in the stone fountain . . .,summer haze,"no water
in the stone fountain . . .
summer haze",en
9238,phone call,the pup’s squeaky toy,fills the silence,"phone call
the pup’s squeaky toy
fills the silence",en
9240,festive season,she turns off the fairy lights,to view the stars,"festive season
she turns off the fairy lights
to view the stars",en
9242,missing child,the distinctive cry,of a fan-tailed pigeon,"missing child
the distinctive cry
of a fan-tailed pigeon",en
9244,a vagabond on the bench,covered with a nude girl,on the newspaper,"a vagabond on the bench
covered with a nude girl
on the newspaper",en
9246,just before dawn,the bright moon,of the computer screen,"just before dawn
the bright moon
of the computer screen",en
9248,nightfall,I read the poems,in braille,"nightfall
I read the poems
in braille",en
9250,first snow fall - ,covered with maple leaves,at sunrise,"first snow fall - 
covered with maple leaves
at sunrise",en
9252,first light,broken blue shell,under the maple,"first light
broken blue shell
under the maple",en
9254,All Saints Day -,in the field only small,pumpkins are left,"All Saints Day -
in the field only small
pumpkins are left",en
9256,December dusk -,a solitary pine tree,all lit up,"December dusk -
a solitary pine tree
all lit up",en
9258,silent phone,only the ring,from his teacup,"silent phone
only the ring
from his teacup",en
9260,her fresh flowers -,his fresh grave,valentine's day,"her fresh flowers -
his fresh grave
valentine's day",en
9262,valentines -,the mailman's steps,break the ice,"valentines -
the mailman's steps
break the ice",en
9264,rush hour ~,closing the car window,on my hair,"rush hour ~
closing the car window
on my hair",en
9266,rainy Baltimore,umbrella blossoms,in cafe windows,"rainy Baltimore
umbrella blossoms
in cafe windows",en
9268,summer solstice,he remembers,to lift the sea,"summer solstice
he remembers
to lift the sea",en
9270,fresh paint,a white moth circles,the bug light,"fresh paint
a white moth circles
the bug light",en
9272,noon—,the egret shifts from stillness,to stillness,"noon—
the egret shifts from stillness
to stillness",en
9274,white sun ::,an inch of snow,on the lawnmower,"white sun ::
an inch of snow
on the lawnmower",en
9276,harvest moon :,the bigger pumpkin,waits for a face,"harvest moon :
the bigger pumpkin
waits for a face",en
9278,mill row ::,every door,a different color,"mill row ::
every door
a different color",en
9280,harsh snow ::,a corpse,at the dam,"harsh snow ::
a corpse
at the dam",en
9282,election day ::,a butterfly about to settle,on the seesaw,"election day ::
a butterfly about to settle
on the seesaw",en
9284,new moon ::,my sister's voice,after all this time,"new moon ::
my sister's voice
after all this time",en
9286,steam billows,from the cooling tower ::,sunrise,"steam billows
from the cooling tower ::
sunrise",en
9288,morning mist--,a canada goose,asleep on the dock,"morning mist--
a canada goose
asleep on the dock",en
9290,painting,the dark side of the house--,solstice,"painting
the dark side of the house--
solstice",en
9292,midnight--,the changing wind,in the silver maples,"midnight--
the changing wind
in the silver maples",en
9294,the boat crests a wave -,tracing my finger around,an ancient stone,"the boat crests a wave -
tracing my finger around
an ancient stone",en
9296,urban geese -,voices extemporise,around a sitar,"urban geese -
voices extemporise
around a sitar",en
9298,so cold -,a goose honks its way,across the night sky,"so cold -
a goose honks its way
across the night sky",en
9300,sodium light -,a darker world beneath,the puddles,"sodium light -
a darker world beneath
the puddles",en
9302,lockerbie -,the long walk from graveyard,into town,"lockerbie -
the long walk from graveyard
into town",en
9304,silbury hill -,my wife pregnant with our,first child,"silbury hill -
my wife pregnant with our
first child",en
9306,cold snap -,more than my prints,on the camera,"cold snap -
more than my prints
on the camera",en
9308,summer haze-,a lone grey wolf pads south,along the highway,"summer haze-
a lone grey wolf pads south
along the highway",en
9310,thrill of her flute -,twenty three years,of our lips touching,"thrill of her flute -
twenty three years
of our lips touching",en
9312,stilled by the stream -,delicate frost flowers,crunch under work boots,"stilled by the stream -
delicate frost flowers
crunch under work boots",en
9313,evening traffic -,caught in a low moon,the heron's flight,"evening traffic -
caught in a low moon
the heron's flight",en
9315,slow-falling snow,the steady hand,of the beggar,"slow-falling snow
the steady hand
of the beggar",en
9317,June wedding ,cottonwood fluff ,in the veil ,"June wedding 
cottonwood fluff 
in the veil ",en
