,0,1,2,source
5020,What is left but the,sighing wind blowing in the,tangled grasses?,gutenberg
5021,The Two Red Towers,North and south rise facing,each other.,gutenberg
5022,I beg to,"ask, to whom do",they belong?,gutenberg
5023,The two Princes blew on their flutes and,"drew down fairies from the sky, Who carried them off through the","Five Clouds, soaring away to Heaven.",gutenberg
5024,"Their halls and houses, that they","could not take with them, Were turned into Temples",planted in the Dust of the World.,gutenberg
5025,In the tiring-rooms and dancers’ towers all,is silent and still; Only the willows like dancers’,"arms, and the pond like a mirror.",gutenberg
5026,When the flowers are falling at yellow,"twilight, when things are sad and hushed, One does not hear","songs and flutes, but only chimes and bells.",gutenberg
5027,The Imperial Patent on the,Temple doors is written in letters of gold; For nuns’ quarters,and monks’ cells ample space is allowed.,gutenberg
5028,For green moss and bright moonlight--plenty of room,provided; In a hovel opposite is a sick,man who has hardly room to lie down.,gutenberg
5029,I remember once when at P’ing-yang they were,building a great man’s house How it swallowed up the housing,space of thousands of ordinary men.,gutenberg
5030,"The Immortals are leaving us, two","by two, and their houses are turned into Temples; I begin to",fear that the whole world will become a vast convent.,gutenberg
5031,An old charcoal-seller Cutting wood,and burning charcoal in the forests,of the Southern Mountain.,gutenberg
5032,"His face, stained with dust","and ashes, has turned to",the colour of smoke.,gutenberg
5033,The hair on his temples,is streaked with gray: his ten,fingers are black.,gutenberg
5034,The money he gets,"by selling charcoal, how",far does it go?,gutenberg
5035,It is just enough,to clothe his limbs and put food,in his mouth.,gutenberg
5036,"Although, alas, the",coat on his back is a coat,without lining.,gutenberg
5037,He hopes for the coming,"of cold weather, to send up",the price of coal!,gutenberg
5038,"Last night, outside the city,--a whole",foot of snow; At dawn he drives the charcoal,wagon along the frozen ruts.,gutenberg
5039,"Oxen,--weary; man,--hungry: the sun, already","high; Outside the Gate, to the south of the Market,",at last they stop in the mud.,gutenberg
5040,"Suddenly,",a pair of prancing,horsemen.,gutenberg
5041,Who,can it be,coming?,gutenberg
5042,A public official,in a yellow coat and a,boy in a white shirt.,gutenberg
5043,In their hands they hold a written warrant:,on their tongues--the words of an order; They turn back the wagon and curse,"the oxen, leading them off to the north.",gutenberg
5044,A whole wagon,"of charcoal, More than",a thousand pieces!,gutenberg
5045,If officials choose,"to take it away, the woodman",may not complain.,gutenberg
5046,Half a piece of red silk and a single yard,"of damask, The Courtiers have tied to the oxen’s collar,",as the price of a wagon of coal!,gutenberg
5047,I was going to the City to,sell the herbs I had plucked; On the way I rested,by some trees at the Blue Gate.,gutenberg
5048,Along the road there came,a horseman riding; Whose face was pale,with a strange look of dread.,gutenberg
5049,"Friends and relations, waiting","to say good-bye, Pressed at his side, but",he did not dare to pause.,gutenberg
5050,"I, in wonder, asked the",people about me Who he was and,what had happened to him.,gutenberg
5051,They told me this was a,Privy Councillor Whose grave duties were,like the pivot of State.,gutenberg
5052,His food allowance was ten,thousand cash; Three times a day the,Emperor came to his house.,gutenberg
5053,Yesterday he was called to,a meeting of Heroes: To-day he is banished,to the country of Yai-chou.,gutenberg
5054,"So always, the Counsellors",of Kings; Favour and ruin changed,between dawn and dusk!,gutenberg
5055,"Green, green,--the grass of the Eastern","Suburb; And amid the grass, a",road that leads to the hills.,gutenberg
5056,Resting in peace among the,"white clouds, At last he has made",a “coup” that cannot fail!,gutenberg
5057,At Hsin-fēng an old man--four-score and,eight; The hair on his head and the hair of,his eyebrows--white as the new snow.,gutenberg
5058,"Leaning on the shoulders of his great-grandchildren,",he walks in front of the Inn; With his left arm he leans,on their shoulders; his right arm is broken.,gutenberg
5059,I asked the old man how many years,had passed since he broke his arm; I also asked the cause of the,"injury, how and why it happened?",gutenberg
5060,The old man said he was born and reared,in the District of Hsin-fēng; At the time of his,birth--a wise reign; no wars or discords.,gutenberg
5061,“Often I listened in the Pear-Tree Garden to,the sound of flute and song; Naught I knew of banner and,lance; nothing of arrow or bow.,gutenberg
5062,Then came the wars of T’ien-pao,and the great levy of men; Of three men,"in each house,--one man was taken.",gutenberg
5063,And those to,"whom the lot fell, where",were they taken to?,gutenberg
5064,"When the great army waded across, the",water seethed like a cauldron; When barely ten had entered,"the water, two or three were dead.",gutenberg
5065,"To the north of my village,",to the south of my village the sound of,weeping and wailing.,gutenberg
5066,Children parting,from fathers and mothers; husbands,parting from wives.,gutenberg
5067,Everyone says that in expeditions,against the Min tribes Of a million men who,"are sent out, not one returns.",gutenberg
5068,"I, that am old, was then",twenty-four; My name and fore-name were written down,in the rolls of the Board of War.,gutenberg
5069,In the depth of the night not daring,to let any one know I secretly took a huge,stone and dashed it against my arm.,gutenberg
5070,Bones broken and sinews wounded,could not fail to hurt; I was ready enough to,"bear pain, if only I got back home.",gutenberg
5071,My arm--broken ever,since; it was sixty,years ago.,gutenberg
5072,"One limb, although","destroyed,--whole body",safe!,gutenberg
5073,But even now on winter,nights when the wind and rain blow From evening on till day’s,dawn I cannot sleep for pain.,gutenberg
5074,Not sleeping for pain Is a,"small thing to bear, Compared with the joy of being",alive when all the rest are dead.,gutenberg
5075,"For otherwise, years ago, at the ford",of Lu River My body would have died and my soul,hovered by the bones that no one gathered.,gutenberg
5076,Over the graves of,"ten thousand soldiers, mournfully",hovering.,gutenberg
5077,” So,the old man,spoke.,gutenberg
5078,And I bid you listen to his words Have you not,"heard That the Prime Minister of K’ai-yüan, Sung K’ai-fu, Did not reward frontier exploits,",lest a spirit of aggression should prevail?,gutenberg
5079,And have you not heard That the Prime Minister,"of T’ien-Pao, Yang Kuo-chung Desiring to win imperial","favour, started a frontier war?",gutenberg
5080,But long before he could win the,"war, people had lost their temper; Ask the man with",the broken arm in the village of Hsin-fēng?,gutenberg
5081,White billows and huge waves block the river,"crossing; Wherever I go, danger and difficulty;","whatever I do, failure.",gutenberg
5082,Just as in my worldly career I,"wander and lose the road, So when I come to the river","crossing, I am stopped by contrary winds.",gutenberg
5083,Of fishes and prawns sodden in the rain,the smell fills my nostrils; With the stings of insects that,"come with the fog, my whole body is sore.",gutenberg
5084,I am growing,"old, time flies, and my short",span runs out.,gutenberg
5085,While I sit in,"a boat at Chiu-k’ou,",wasting ten days!,gutenberg
5086,I take your poems in my hand and,read them beside the candle; The poems are finished:,the candle is low: dawn not yet come.,gutenberg
5087,With sore eyes by the guttering candle,"still I sit in the dark, Listening to waves that, driven","by the wind, strike the prow of the ship.",gutenberg
5088,I have still to travel in my solitary,boat three or four leagues-- By misty waters and rainy,"sands, while the yellow dusk thickens.",gutenberg
5089,"The forest trees are leafless and withered,--after",the mountain rain; The roofs of the houses are hidden,low among the river mists.,gutenberg
5090,"The horses, fed on water grass, are",too weak to carry their load; The cottage walls of wattle,and thatch let the wind blow on one’s bed.,gutenberg
5091,In the distance I see red-wheeled coaches,"driving from the town-gate; They have taken the trouble, these civil","people, to meet their new Prefect!",gutenberg
5092,There is no one among men that,has not a special failing: And my failing,consists in writing verses.,gutenberg
5093,I have broken away from,the thousand ties of life: But this,infirmity still remains behind.,gutenberg
5094,"And often, when I have finished","a new poem, Alone I climb the road",to the Eastern Rock.,gutenberg
5095,I lean my body on the,banks of white stone: I pull down with my,hands a green cassia branch.,gutenberg
5096,My mad singing startles,the valleys and hills: The apes and,birds all come to peep.,gutenberg
5097,Fearing to become a,"laughing-stock to the world, I choose a place that is",unfrequented by men.,gutenberg
5098,"At Nine Rivers, in the tenth year,","in winter,--heavy snow; The river-water covered with ice",and the forests broken with their load.,gutenberg
5099,"The birds of the air, hungry and","cold, went flying east and west; And with them flew a migrant","“yen,” loudly clamouring for food.",gutenberg
5100,Among the snow it pecked for grass; and rested,on the surface of the ice: It tried with its wings to scale,the sky; but its tired flight was slow.,gutenberg
5101,The boys of the river spread a net,and caught the bird as it flew; They took it in their hands,to the city-market and sold it there alive.,gutenberg
5102,I that was once a man of the,"North am now an exile here: Bird and man, in their","different kind, are each strangers in the south.",gutenberg
5103,And because the sight of an exiled bird,"wounded an exile’s heart, I paid your ransom and set","you free, and you flew away to the clouds.",gutenberg
5104,"Yen, Yen, flying","to the clouds, tell me, whither",shall you go?,gutenberg
5105,The official army and the rebel army,have grown old in their opposite trenches; The soldier’s rations,"have grown so small, they’ll be glad of even you.",gutenberg
5106,"The brave boys, in their hungry plight, will shoot",you and eat your flesh; They will pluck from your body those,long feathers and make them into arrow-wings!,gutenberg
5107,"_You_, so bravely",splashing reds,and blues!,gutenberg
5108,Just when _I_,am getting wrinkled,and old.,gutenberg
5109,Why should you waste the moments,of inspiration Tracing the withered,limbs of a sick man?,gutenberg
5110,"Tall, tall is the Palace",of Ch’i-lin; But my deeds have not been,frescoed on its walls.,gutenberg
5111,Minutely limned on a,foot of painting silk-- What can I do,with a portrait such as _that_?,gutenberg
5112,Yesterday I heard,that such-a-one was gone; This morning they,tell me that so-and-so is dead.,gutenberg
5113,Of friends and acquaintances,more than two-thirds Have suffered change and,passed to the Land of Ghosts.,gutenberg
5114,Those that are gone I shall not,"see again; They, alas, are for",ever finished and done.,gutenberg
5115,Those that are,"left,--where are",they now?,gutenberg
5116,"They are all scattered,--a",thousand miles,away.,gutenberg
5117,Those I have known and loved,"through all my life, On the fingers of",my hand--how many do I count?,gutenberg
5118,Longing for each other we are,all grown gray; Through the Fleeting World rolled,like a wave in the stream.,gutenberg
5119,Alas that the feasts and,frolics of old days Have withered and,"vanished, bringing us to this!",gutenberg
5120,When shall we meet and,drink a cup of wine And laughing gaze,into each other’s eyes?,gutenberg
5121,"Up and up,",the Incense-burner,Peak!,gutenberg
5122,In my heart,is stored what my eyes,and ears perceived.,gutenberg
5123,All the year--detained by,official business; To-day at last,I got a chance to go.,gutenberg
5124,"Grasping the creepers, I",clung to dangerous rocks; My hands,and feet--weary with groping for hold.,gutenberg
5125,There came with me,"three or four friends, But two friends dared",not go further.,gutenberg
5126,At last we reached the topmost,"crest of the Peak; My eyes were blinded,",my soul rocked and reeled.,gutenberg
5127,The chasm beneath,me--ten thousand feet; The ground I,"stood on, only a foot wide.",gutenberg
5128,If you have not exhausted the scope,"of seeing and hearing, How can you realize",the wideness of the world?,gutenberg
5129,The waters of the River,"looked narrow as a ribbon, P’ēn Castle",smaller than a man’s fist.,gutenberg
5130,"How it clings,",the dust of the world’s,halter!,gutenberg
5131,It chokes my,limbs: I cannot,shake it away.,gutenberg
5132,"Thinking of retirement,","I heaved an envious sigh, Then, with lowered","head, came back to the Ants’ Nest.",gutenberg
5133,My new Province is a,land of bamboo-groves: Their shoots in spring,fill the valleys and hills.,gutenberg
5134,The mountain woodman cuts an,armful of them And brings them down to,sell at the early market.,gutenberg
5135,Things are cheap in proportion,"as they are common; For two farthings,",I buy a whole bundle.,gutenberg
5136,I put the shoots in a,great earthen pot And heat them up,along with boiling rice.,gutenberg
5137,The purple nodules,"broken,--like an old brocade; The","white skin opened,--like new pearls.",gutenberg
5138,Now every day,I eat them recklessly; For a,long time I have not touched meat.,gutenberg
5139,Sent as a present,from Annam-- A red,cockatoo.,gutenberg
5140,Coloured like the peach-tree,"blossom, Speaking with",the speech of men.,gutenberg
5141,And they did to it,what is always done To the,learned and eloquent.,gutenberg
5142,They took a,cage with stout bars And shut,it up inside.,gutenberg
5143,After lunch--one short,nap: On waking up--two,cups of tea.,gutenberg
5144,"Raising my head, I",see the sun’s light Once again,slanting to the south-west.,gutenberg
5145,Those who are happy regret,the shortness of the day; Those who are sad,tire of the year’s sloth.,gutenberg
5146,But those whose hearts are devoid,"of joy or sadness Just go on living,",regardless of “short” or “long.,gutenberg
5147,"” Above, a mountain ten","thousand feet high: Below, a river",a thousand fathoms deep.,gutenberg
5148,"A strip of green, walled by",cliffs of stone: Wide enough for the,passage of a single reed.,gutenberg
5149,Long before night the,walls are black with dusk; Without,wind white waves rise.,gutenberg
5150,The big rocks are like,a flat sword: The little rocks,resemble ivory tusks.,gutenberg
5151,We are stuck,fast and cannot,move a step.,gutenberg
5152,How much the,"less, three hundred",miles?,gutenberg
5153,"Frail and slender, the twisted-bamboo","rope: Weak, the dangerous hold",of the towers’ feet.,gutenberg
5154,A single slip--the whole,convoy lost: And _my_ life,hangs on _this_ thread!,gutenberg
5155,I have heard a saying “He that has,an upright heart Shall walk scathless through,the lands of Man and Mo.,gutenberg
5156,” How can I believe that,since the world began In every,shipwreck none have drowned but rogues?,gutenberg
5157,"And how can I, born","in evil days And fresh from failure,",ask a kindness of Fate?,gutenberg
5158,Often I fear that,these un-talented limbs Will be laid,at last in an un-named grave!,gutenberg
5159,"Suddenly, suddenly,--bearing","a stricken heart I left the gates,",with nothing to comfort me.,gutenberg
5160,"Henceforward,--relegated to deep seclusion In a bottomless","gorge, flanked by precipitous mountains, Five months on end the passage of boats",is stopped By the piled billows that toss and leap like colts.,gutenberg
5161,The inhabitants of Pa,"resemble wild apes; Fierce and lusty,",they fill the mountains and prairies.,gutenberg
5162,Among such as these I cannot hope,for friends And am pleased with anyone who,is even remotely human!,gutenberg
5163,I took money and bought,flowering trees And planted them out on,the bank to the east of the Keep.,gutenberg
5164,I simply bought whatever,"had most blooms, Not caring whether","peach, apricot, or plum.",gutenberg
5165,"A hundred fruits, all mixed","up together; A thousand branches,",flowering in due rotation.,gutenberg
5166,Each has its season coming,early or late; But to all alike the,fertile soil is kind.,gutenberg
5167,The red flowers hang like,a heavy mist; The white flowers gleam,like a fall of snow.,gutenberg
5168,The wandering bees cannot,bear to leave them; The sweet birds also,come there to roost.,gutenberg
5169,In front there flows an ever-running,stream; Beneath there is built a little,flat terrace.,gutenberg
5170,Sometimes I sweep the flagstones,"of the terrace; Sometimes, in the wind,",I raise my cup and drink.,gutenberg
5171,The flower-branches screen my head,from the sun; The flower-buds fall,down into my lap.,gutenberg
5172,"Alone drinking, alone singing",my songs I do not notice that the,moon is level with the steps.,gutenberg
5173,The people of Pa do not,care for flowers; All the spring,no one has come to look.,gutenberg
5174,"But their Governor General,",alone with his cup of wine Sits till evening,and will not move from the place!,gutenberg
5175,"My niece, who is six","years old, is called “Miss Tortoise”; My","daughter of three,--little “Summer Dress.",gutenberg
5176,” One is beginning to learn,to joke and talk; The other can already,recite poems and songs.,gutenberg
5177,At morning they play clinging,about my feet; At night they sleep,pillowed against my dress.,gutenberg
5178,"Why, children, did you reach","the world so late, Coming to me",just when my years are spent?,gutenberg
5179,Young things draw our,feelings to them; Old people,easily give their hearts.,gutenberg
5180,The sweetest vintage,at last turns sour; The full,moon in the end begins to wane.,gutenberg
5181,And so with men the bonds of,love and affection Soon may change to a,load of sorrow and care.,gutenberg
5182,But all the world is bound,by love’s ties; Why did I think that I,alone should escape?,gutenberg
5183,Trees growing--right in front of,my window; The trees are high,and the leaves grow thick.,gutenberg
5184,the distant mountain,"view Obscured by this, dimly",shows between.,gutenberg
5185,One morning I took,knife and axe; With my own hand I,lopped the branches off.,gutenberg
5186,Ten thousand leaves fall about,my head; A thousand hills came,before my eyes.,gutenberg
5187,"Suddenly, as when clouds or mists break And straight through,","the blue sky appears; Again, like the face of a friend one has",loved Seen at last after an age of parting.,gutenberg
5188,First there came a gentle,wind blowing; One by one the birds,flew back to the tree.,gutenberg
5189,To ease my mind I gazed to,"the South East; As my eyes wandered,",my thoughts went far away.,gutenberg
5190,Of men there is none that has,not some preference; Of things there is,none but mixes good with ill.,gutenberg
5191,It was not that I did,not love the tender branches; But,"better still,--to see the green hills!",gutenberg
5192,I have been ill so long that,I do not count the days; At the southern,"window, evening--and again evening.",gutenberg
5193,Sadly chirping in the,grasses under my eaves The winter,sparrows morning and evening sing.,gutenberg
5194,By an effort I rise and lean,heavily on my bed; Tottering I,step towards the door of the courtyard.,gutenberg
5195,By chance I meet a friend who,is coming to see me; Just as if,I had gone specially to meet him.,gutenberg
5196,They took my couch and placed it in,the setting sun; They spread my rug and,I leaned on the balcony-pillar.,gutenberg
5197,Tranquil talk was better than,any medicine; Gradually the,feelings came back to my numbed heart.,gutenberg
5198,Little sleeping and much,"grieving,--the traveller Rises at midnight",and looks back towards home.,gutenberg
5199,The sands are bright with moonlight,that joins the shores; The sail is white with,dew that has covered the boat.,gutenberg
5200,"Nearing the sea, the river grows","broader and broader: Approaching autumn,--the",nights longer and longer.,gutenberg
5201,Thirty times we have,"slept amid mists and waves, And",still we have not reached Hang-chow!,gutenberg
5202,I grew up,at Jung-yang; I was still,young when I left.,gutenberg
5203,"On and on,--forty years passed",Till again I stayed for,the night at Jung-yang.,gutenberg
5204,"When I went away, I",was only eleven or twelve;,This year I am turned fifty-six.,gutenberg
5205,Yet thinking back to the,"times of my childish games, Whole and undimmed,",still they rise before me.,gutenberg
5206,The old houses have all,disappeared; Down in the village,none of my people are left.,gutenberg
5207,It is not only that streets,and buildings have changed; But steep is level,and level changed to steep!,gutenberg
5208,"Alone unchanged, the waters","of Ch’iu and Yu Passionless,--flow",in their old course.,gutenberg
5209,"While on the road to his new province, Hang-chow, in 822,","he sends a silver spoon to his niece A-kuei, whom he had been obliged to leave","behind with her nurse, old Mrs.",gutenberg
5210,Little girls ought to,be daintily,fed: Mrs.,gutenberg
5211,"Ts’ao,",please see to,this!,gutenberg
5212,That’s why I’ve packed and sent a,silver spoon; You will think of me and,eat up your food nicely!,gutenberg
5213,Long ago to a white-haired,gentleman You made the present,of a black gauze hat.,gutenberg
5214,The gauze hat still sits on,my head; But you already are gone,to the Nether Springs.,gutenberg
5215,"The thing is old, but still",fit to wear; The man is gone and,will never be seen again.,gutenberg
5216,Out on the hill the moon is,shining to-night And the trees on your tomb,are swayed by the autumn wind.,gutenberg
5217,That so many of the,poor should suffer from cold what can,we do to prevent?,gutenberg
5218,To bring warmth to,a single body,is not much use.,gutenberg
5219,I wish I had a big rug,"ten thousand feet long, Which at one time could cover",up every inch of the City.,gutenberg
5220,Our party scattered at yellow dusk,and I came home to bed; I woke at midnight and went for,"a walk, leaning heavily on a friend.",gutenberg
5221,As I lay on my pillow my vinous,"complexion, soothed by sleep, grew sober; In front of the tower the ocean","moon, accompanying the tide, had risen.",gutenberg
5222,"The swallows, about to return to the beams,","went back to roost again; The candle at my window, just","going out, suddenly revived its light.",gutenberg
5223,"All the time till dawn came, still my thoughts",were muddled; And in my ears something sounded,like the music of flutes and strings.,gutenberg
5224,"_Then_ on the shore,--building","sand-pagodas; _Now_, at Court, covered with",tinkling jade.,gutenberg
5225,"This and that,--equally childish","games, Things whose substance passes in",a moment of time!,gutenberg
5226,"While the hands are busy, the",heart cannot understand; When there are no,"Scriptures, then Doctrine is sound.",gutenberg
5227,Even should one zealously,"strive to learn the Way, That very striving",will make one’s error more.,gutenberg
5228,All the morning I have,lain perversely in bed; Now at,dusk I rise with many yawns.,gutenberg
5229,My warm stove is quick to,get ablaze; At the cold mirror I,am slow in doing my hair.,gutenberg
5230,With melted snow I,boil fragrant tea; Seasoned with,curds I cook a milk-pudding.,gutenberg
5231,At my sloth and greed there,is no one but me to laugh; My cheerful vigour,none but myself knows.,gutenberg
5232,The taste of my wine is mild and,works no poison; The notes of my harp,are soft and bring no sadness.,gutenberg
5233,To the Three Joys in the book,of Mencius I have added the,fourth of playing with my baby-boy.,gutenberg
5234,I break up cypress,and make a book-box; The box,"well-made,--and the cypress-wood tough.",gutenberg
5235,In it shall be,kept what author’s,works?,gutenberg
5236,The inscription,says PO,LO-T’IEN.,gutenberg
5237,All my life has been spent,"in writing books, From when I was young",till now that I am old.,gutenberg
5238,"First and last,--seventy","whole volumes; Big and little,--three",thousand themes.,gutenberg
5239,All I can do is to divide them,among my daughters To be left by them,to give to my grandchildren.,gutenberg
5240,"Between thirty and forty, one is","distracted by the Five Lusts; Between seventy and eighty,",one is a prey to a hundred diseases.,gutenberg
5241,But from fifty to,sixty one is free from all ills;,Calm and still--the heart enjoys rest.,gutenberg
5242,I have put behind me Love and Greed; I,have done with Profit and Fame; I am still short of illness,and decay and far from decrepit age.,gutenberg
5243,Strength of limb I still possess to,seek the rivers and hills; Still my heart has spirit,enough to listen to flutes and strings.,gutenberg
5244,At leisure I open new,wine and taste several cups; Drunken I recall,old poems and sing a whole volume.,gutenberg
5245,"” Hundreds of houses,","thousands of houses,--like",a chess-board.,gutenberg
5246,The twelve streets,like a field planted with,rows of cabbage.,gutenberg
5247,"In the distance perceptible, dim,",dim--the fire of approaching dawn; And a single row,of stars lying to the west of the Five Gates.,gutenberg
5248,Mounting on high I begin to realize,the smallness of Man’s Domain; Gazing into distance I begin,to know the vanity of the Carnal World.,gutenberg
5249,I turn my head and hurry,"home--back to the Court and Market, A single",grain of rice falling--into the Great Barn.,gutenberg
5250,Two top-knots not,yet plaited into,one.,gutenberg
5251,Of thirty,years--just beyond,half.,gutenberg
5252,You who are really a lady,of silks and satins Are now become my,hill and stream companion!,gutenberg
5253,At the spring fountains together,we splash and play: On the lovely trees,together we climb and sport.,gutenberg
5254,"Her cheeks grow rosy, as","she quickens her sleeve-dancing: Her brows grow sad,",as she slows her song’s tune.,gutenberg
5255,Don’t go singing the Song of,"the Willow Branches, When there’s no one",here with a heart for you to break!,gutenberg
5256,At night you came and took my hand and we wandered,together in my dream; When I woke in the morning there was no one to,stop the tears that fell on my handkerchief.,gutenberg
5257,On the banks of the Ch’ang my aged body,three times has passed through sickness; At Hsien-yang to the grasses,on your grave eight times has autumn come.,gutenberg
5258,You lie buried beneath,the springs and your bones are,mingled with the clay.,gutenberg
5259,I--lodging in the,world of men; my hair,white as snow.,gutenberg
5260,A-wei and Han-lang both followed in,their turn; Among the shadows of the Terrace,of Night did you know them or not?,gutenberg
5261,"At night, in my","dream, I stoutly climbed",a mountain.,gutenberg
5262,Going out alone,with my staff of,holly-wood.,gutenberg
5263,"A thousand crags, a hundred hundred valleys-- In",my dream-journey none were unexplored And all the while my feet never grew tired,And my step was as strong as in my young days.,gutenberg
5264,Can it be that when the,mind travels backward The body also,returns to its old state?,gutenberg
5265,"And can it be, as between","body and soul, That the body may","languish, while the soul is still strong?",gutenberg
5266,Soul and body--both are,vanities: Dreaming and waking--both,alike unreal.,gutenberg
5267,In the day my feet are palsied,and tottering; In the night my steps,go striding over the hills.,gutenberg
5268,As day and night are,divided in equal parts-- Between the,"two, I _get_ as much as I _lose_.",gutenberg
5269,Congratulating himself on,the comforts of his life after his,retirement from office.,gutenberg
5270,"Lined coat, warm cap and easy felt slippers,","In the little tower, at the low window, sitting",over the sunken brazier.,gutenberg
5271,"Body at rest,",heart at peace; no need to,rise early.,gutenberg
5272,I wonder if the courtiers,at the Western Capital know,"of these things, or not?",gutenberg
5273,No new poems his,brush will trace: Even,his fame is dead.,gutenberg
5274,His old poems are deep,in dust At the bottom of,boxes and cupboards.,gutenberg
5275,"Once lately, when someone was singing,",Suddenly I heard a verse-- Before I had time,to catch the words A pain had stabbed my heart.,gutenberg
5276,“Those who speak know,nothing; Those who know,are silent.,gutenberg
5277,"” These words, as","I am told, Were spoken",by Lao-tzŭ.,gutenberg
5278,If we are to believe that Lao-tzŭ,"Was himself _one who knew_, How comes it that he wrote",a book Of five thousand words?,gutenberg
5279,Chuang-tzŭ levels all things,And reduces them to,the same Monad.,gutenberg
5280,But _I_ say that,even in their sameness,Difference may be found.,gutenberg
5281,A traveller,came from across the seas Telling,of strange sights.,gutenberg
5282,“In a deep fold of the,sea-hills I saw a terrace,and tower.,gutenberg
5283,In the midst there,stood a Fairy Temple With,one niche empty.,gutenberg
5284,They all told me,this was waiting,For Lo-t’ien to come.,gutenberg
5285,"” Traveller, I have studied the Empty Gate;",I am no disciple of Fairies The story you,have just told Is nothing but an idle tale.,gutenberg
5286,The hills of,ocean shall never,be Lo-t’ien’s home.,gutenberg
5287,When I leave the earth,it will be to go To the Heaven,of Bliss Fulfilled.,gutenberg
5288,They have put my bed beside the,unpainted screen; They have shifted my stove,in front of the blue curtain.,gutenberg
5289,"I listen to my grandchildren,","reading me a book; I watch the servants,",heating up my soup.,gutenberg
5290,With rapid pencil I answer,the poems of friends; I feel in my pockets,and pull out medicine-money.,gutenberg
5291,When this superintendence of,"trifling affairs is done, I lie back on my",pillows and sleep with my face to the South.,gutenberg
5292,THE END CHISWICK,PRESS: PRINTED BY CHARLES,WHITTINGHAM AND CO.,gutenberg
5293,"TOOKS COURT,",CHANCERY,"LANE, LONDON.",gutenberg
5294,"21, heading,      for",BIOGRAPHICAL    read,BIBLIOGRAPHICAL.,gutenberg
5295,"You, stand here at my","side, good Priapus--albeit from thieves",I've Nothing to fear.,gutenberg
5296,Freely,"pluck, whosoever",would eat.,gutenberg
5297,"--Hypocrites, those",are,the ones!,gutenberg
5298,Tell me ye stones and,give me O glorious,palaces answer.,gutenberg
5299,Speak O,ye streets but,one word.,gutenberg
5300,"Genius, art",thou,alive?,gutenberg
5301,"Yes, here within thy sanctified","walls there's a soul in each object,",ROMA eternal.,gutenberg
5302,"For me, only,",are all things,yet mute.,gutenberg
5303,Who will then tell me in whispers,and where must I find just the window Where one day she'll,be glimpsed: creature who'll scorch me with love?,gutenberg
5304,Can't I divine yet the paths through,which over and over To her and from her,"I'll go, squandering valuable time?",gutenberg
5305,"Visiting churches and palaces, all","of the ruins and the pillars, I, a responsible","man, profit from making this trip.",gutenberg
5306,"With my business accomplished, ah,","then shall only one temple, AMOR's temple","alone, take the initiate in.",gutenberg
5307,"Rome, thou art a whole world, it","is true, and yet without love this World would not be the","world, Rome would cease to be Rome.",gutenberg
5308,More than ever I,"dreamed, I have found it: my",happy good fortune!,gutenberg
5309,Cupid,sagaciously led,past those palazzos so fine.,gutenberg
5310,He of course knows very well (and I,"have also discovered) What, beneath tapestries","rich, gilded boudoirs conceal.",gutenberg
5311,One may if one wishes,"call him a blind, wanton boy--but I know you,","Clever Cupid, too well!",gutenberg
5312,"O,",incorruptible,god!,gutenberg
5313,"Here he provides me with ev'rything,",sees that I get what I call for; Each day that passes,he spreads freshly plucked roses for me.,gutenberg
5314,--Isn't that,heaven,on earth?,gutenberg
5315,"Say, beautiful","Lady Borghese, What would you",give to me more?,gutenberg
5316,"--You, Nipotina,",what yours?,,gutenberg
5317,Banquets and game,"tables, operas, balls, promenades",down the Corso?,gutenberg
5318,These but deprive,my sweet boy of his,most opportune times.,gutenberg
5319,"Finery,",haughtiness do,not entice me.,gutenberg
5320,Does one not lift a,Gown of the finest brocade just as,one lifts common wool?,gutenberg
5321,If she's to press in comfort a,"lover against that soft bosom, Doesn't he want",her to be free from all brooches and chains?,gutenberg
5322,"Must not the jewelry, and then the",lace and the bustles and whalebone All of it come,"off entire, if he's to learn how she feels?",gutenberg
5323,I encounter,no troubles,like those.,gutenberg
5324,"Simple dress of rough homespun,","At but a lover's mere touch, tumbles",in folds to the floor.,gutenberg
5325,Quickly he carries the girl as,she's clad in chemise of coarse linen-- Just as a nursemaid,"might, playfully up to her bed.",gutenberg
5326,Drapings of satin,are absent; the mattress is,quite unembroidered.,gutenberg
5327,Large is this room where,the bed offers its,comfort for two.,gutenberg
5328,Jupiter's welcome to more from his,Juno if he can get it; Let any mortal find,"rest, softer, wherever he can.",gutenberg
5329,"We are content with Cupid's delights,",authentic and naked-- And with the exquisite,creak /crack of the bed as it rocks.,gutenberg
5330,Ask whomever you will but you'll,"never find out where I'm lodging, High society's","lords, ladies so groomed and refined.",gutenberg
5331,"""Tell me,",was Werther,authentic?,gutenberg
5332,Did all of,that happen in,real life?,gutenberg
5333,""" ""Lotte, oh where did she","live, Werther's only",true love?,gutenberg
5334,""" How many times have I cursed those",frivolous pages that broadcast Out among all,mankind passions I felt in my youth!,gutenberg
5335,"Were he my brother,",why then I 'd have murdered,poor Werther.,gutenberg
5336,Yet his despondent,ghost couldn't have sought,worse revenge.,gutenberg
5337,"Do not, beloved, regret that",you yielded to me so quickly: I entertain,"no base, insolent thoughts about you.",gutenberg
5338,Arrows,of Cupid work divers,effects.,gutenberg
5339,Some do but scratch us:,Slow and insidious these,poison our hearts over years.,gutenberg
