,0,1,2,haiku,lang
10687,saffron smudges,in the evening sky . . . , birdsong,"saffron smudges
in the evening sky . . . 
 birdsong",en
10688,taches de safran ,dans le ciel du soir . . . ,chant d'oiseau ,"taches de safran 
dans le ciel du soir . . . 
chant d'oiseau ",fr
10689,examinations ...,blank sheets as students,observe the falling leaves,"examinations ...
blank sheets as students
observe the falling leaves",en
10690,(examens ...,feuilles blanches alors que les étudiants,observent les feuilles mortes),"(examens ...
feuilles blanches alors que les étudiants
observent les feuilles mortes)",fr
10691,marble moon ...,the staccato of high heels,at rush hour,"marble moon ...
the staccato of high heels
at rush hour",en
10692,lune de marbre ...,le staccato des hauts talons,à l'heure de pointe,"lune de marbre ...
le staccato des hauts talons
à l'heure de pointe",fr
10693,sampling my husband's,home-made wine ...,autumn evening,"sampling my husband's
home-made wine ...
autumn evening",en
10694,(je goûte,le vin maison de mon mari,soir d'automne),"(je goûte
le vin maison de mon mari
soir d'automne)",fr
10695,stuck in traffic,dreaming of the monsoon,in a far-away land,"stuck in traffic
dreaming of the monsoon
in a far-away land",en
10696,coincée dans le trafic,je rêve de la mousson,dans une terre lointaine,"coincée dans le trafic
je rêve de la mousson
dans une terre lointaine",fr
10697,at the window,the drumming of rain ...,I catch up on sleep,"at the window
the drumming of rain ...
I catch up on sleep",en
10698,(à la fenêtre,le tambourinement de la pluie ...,je me rendors),"(à la fenêtre
le tambourinement de la pluie ...
je me rendors)",fr
10699,this morning the sun,a fried egg on a plate,of blue china,"this morning the sun
a fried egg on a plate
of blue china",en
10700,le soleil ce matin,un oeuf miroir sur une assiette,bleu de chine,"le soleil ce matin
un oeuf miroir sur une assiette
bleu de chine",fr
10701,doves,on the TV antenna,war on TV,"doves
on the TV antenna
war on TV",en
10702,des colombes,sur l'antenne de TV,guerre à la TV,"des colombes
sur l'antenne de TV
guerre à la TV",fr
10703,chirping birds --,the instant I press,the stop button,"chirping birds --
the instant I press
the stop button",en
10704,gazouillement d'oiseaux --,à l'instant où je pousse,le bouton stop,"gazouillement d'oiseaux --
à l'instant où je pousse
le bouton stop",fr
10705,new year...,a magpie turns over,an old leaf,"new year...
a magpie turns over
an old leaf",en
10706,l'année nouvelle...,une pie retourne,une vieille feuille,"l'année nouvelle...
une pie retourne
une vieille feuille",fr
10707,too soon the darkness,your last words lingering,in mist,"too soon the darkness
your last words lingering
in mist",en
10708,trop tôt l'obscurité,tes dernières paroles traînent,dans le brouillard,"trop tôt l'obscurité
tes dernières paroles traînent
dans le brouillard",fr
10709,moon and mist ~,night settles into silence,and white breath,"moon and mist ~
night settles into silence
and white breath",en
10710,lune et brume ~,la nuit s'installe dans le silence,et l'haleine blanche,"lune et brume ~
la nuit s'installe dans le silence
et l'haleine blanche",fr
10711,my dead mother's voice,on the answering machine,. . . again and again . . .,"my dead mother's voice
on the answering machine
. . . again and again . . .",en
10712,la voix de ma mère disparue,sur le répondeur,. . . encore et encore . . .,"la voix de ma mère disparue
sur le répondeur
. . . encore et encore . . .",fr
10713,summer sunset ~,the slow glide of a heron,into shadows,"summer sunset ~
the slow glide of a heron
into shadows",en
10714,coucher de soleil d'été ~,la lente glissade d'un héron,dans l'obscurité,"coucher de soleil d'été ~
la lente glissade d'un héron
dans l'obscurité",fr
10715,young girls in fog --,the fleet movement of hands,fluffing tobacco,"young girls in fog --
the fleet movement of hands
fluffing tobacco",en
10716,jeunes filles dans le brouillard --,le mouvement aérien des mains,cueillant le tabac,"jeunes filles dans le brouillard --
le mouvement aérien des mains
cueillant le tabac",fr
10717,Chechnya ~,blackened bones and ashes,smouldering,"Chechnya ~
blackened bones and ashes
smouldering",en
10718,Tchetchenie ~,des os noircis et des cendres,fumantes,"Tchetchenie ~
des os noircis et des cendres
fumantes",fr
10719,new leaves,pattered by rain . . .,cardinal song,"new leaves
pattered by rain . . .
cardinal song",en
10721,first bright day,a daffodil left,in an open book,"first bright day
a daffodil left
in an open book",en
10722,premier jour clair,une jonquille oubliée,dans un livre ouvert ,"premier jour clair
une jonquille oubliée
dans un livre ouvert ",fr
10723,early spring,an urge to wear,pink lipstick,"early spring
an urge to wear
pink lipstick",en
10724,début de printemps,une envie de porter,du rouge-à-lèvres rose ,"début de printemps
une envie de porter
du rouge-à-lèvres rose ",fr
10725,painted eggs —,the promises,you made,"painted eggs —
the promises
you made",en
10726,oeufs décorés —,les promesses,que tu as faites ,"oeufs décorés —
les promesses
que tu as faites ",fr
10727,first date,the slow dance of tulips,in a vase,"first date
the slow dance of tulips
in a vase",en
10728,premier rendez-vous,la lente danse des tulipes,dans un vase ,"premier rendez-vous
la lente danse des tulipes
dans un vase ",fr
10729,a plate of pancakes,glistening with syrup,spring moon,"a plate of pancakes
glistening with syrup
spring moon",en
10730,une assiette de crêpes,scintillantes de sirop,lune de printemps ,"une assiette de crêpes
scintillantes de sirop
lune de printemps ",fr
10731,knitting on a beach,one blue wave laps,over another,"knitting on a beach
one blue wave laps
over another",en
10732,je tricote sur la plage,une vague bleue clapote,sur une autre ,"je tricote sur la plage
une vague bleue clapote
sur une autre ",fr
10733,long winter night,I show him my scar,in the shape of the moon,"long winter night
I show him my scar
in the shape of the moon",en
10734,longue nuit d’hiver,je lui montre ma cicatrice,en forme de lune ,"longue nuit d’hiver
je lui montre ma cicatrice
en forme de lune ",fr
10735,unkind words ,the sudden tightening,of mussel shells,"unkind words 
the sudden tightening
of mussel shells",en
10736,paroles désobligeantes ,la fermeture soudaine,des coquilles de moules ,"paroles désobligeantes 
la fermeture soudaine
des coquilles de moules ",fr
10737,heavy rain,finally he comes clean,about the lie,"heavy rain
finally he comes clean
about the lie",en
10738,(pluie lourde,finalement il s'est lavé,du mensonge) ,"(pluie lourde
finalement il s'est lavé
du mensonge) ",fr
10739,in a pile of old rubbish,how the rain gathers,the sky,"in a pile of old rubbish
how the rain gathers
the sky",en
10740,(dans un tas de vieilles ordures,comme la pluie récolte,le ciel) ,"(dans un tas de vieilles ordures
comme la pluie récolte
le ciel) ",fr
10741,deep winter,reading a dead friend's book,on alchemy,"deep winter
reading a dead friend's book
on alchemy",en
10742,coeur de l’hiver,lire le livre d'un ami mort,sur l'alchimie ,"coeur de l’hiver
lire le livre d'un ami mort
sur l'alchimie ",fr
10743,both feet slide,into the sky,frozen pavement,"both feet slide
into the sky
frozen pavement",en
10744,les deux pieds glissent,dans le ciel,trottoir gelé ,"les deux pieds glissent
dans le ciel
trottoir gelé ",fr
10745,Milky Way,over a neolithic dig,the length of a breath,"Milky Way
over a neolithic dig
the length of a breath",en
10746,(Voie Lactée,au cours d'une fouille néolithique,la longueur d'une respiration) ,"(Voie Lactée
au cours d'une fouille néolithique
la longueur d'une respiration) ",fr
10747,deep,into city streets,the call of seagulls,"deep
into city streets
the call of seagulls",en
10748,(au creux,des rues de la ville,l'appel des mouettes) ,"(au creux
des rues de la ville
l'appel des mouettes) ",fr
10749,deep inside,the iris,summer rain ,"deep inside
the iris
summer rain ",en
10750,wet hair drying,on a summer night,scent of the sea ,"wet hair drying
on a summer night
scent of the sea ",en
10751,deleting ,my pregnancy app,autumn rain ,"deleting 
my pregnancy app
autumn rain ",en
10752,a girl at twilight,with a white balloon,moonrise,"a girl at twilight
with a white balloon
moonrise",en
10753,une fille au crépuscule,avec un ballon blanc,lever de lune ,"une fille au crépuscule
avec un ballon blanc
lever de lune ",fr
10754,in the hammock,where we lay all summer,fallen leaves,"in the hammock
where we lay all summer
fallen leaves",en
10755,dans le hamac,où nous nous couchions tout l'été,des feuilles mortes ,"dans le hamac
où nous nous couchions tout l'été
des feuilles mortes ",fr
10756,Southend-on-Sea,freshly fried chips,on the salt air,"Southend-on-Sea
freshly fried chips
on the salt air",en
10757,Southend-on-Sea,des frites bien chaudes,dans l'air salin ,"Southend-on-Sea
des frites bien chaudes
dans l'air salin ",fr
10758,moss,softens the wings,of stone angels,"moss
softens the wings
of stone angels",en
10759,de la mousse,adoucit les ailes,des anges de pierre ,"de la mousse
adoucit les ailes
des anges de pierre ",fr
10760,the silence,between us-,filled with sunlight,"the silence
between us-
filled with sunlight",en
10761,le silence,entre nous -,plein de soleil ,"le silence
entre nous -
plein de soleil ",fr
10763,moon on the wane,the sound of wings,at dusk,"moon on the wane
the sound of wings
at dusk",en
10764,lune sur le déclin,le bruit d'ailes,au crépuscule ,"lune sur le déclin
le bruit d'ailes
au crépuscule ",fr
10765,desert dream,the sound of foghorns,on the Solent,"desert dream
the sound of foghorns
on the Solent",en
10766,rêve de désert,le son des cornes de brume,sur le Solent ,"rêve de désert
le son des cornes de brume
sur le Solent ",fr
10767,ageing skin,the warmth and softness,of a baked apple,"ageing skin
the warmth and softness
of a baked apple",en
10768,vieillissement de la peau,la chaleur et la douceur,d'une pomme cuite ,"vieillissement de la peau
la chaleur et la douceur
d'une pomme cuite ",fr
10769,open windows -,all the contrails,feathering,"open windows -
all the contrails
feathering",en
10770,fenêtres ouvertes -,toutes les trainées d'avion,font des plumes ,"fenêtres ouvertes -
toutes les trainées d'avion
font des plumes ",fr
10771,spring clarity,the local pub reveals,its old name,"spring clarity
the local pub reveals
its old name",en
10772,clarté de printemps,le pub local révèle,son acien nom ,"clarté de printemps
le pub local révèle
son acien nom ",fr
10773,poetry books,banished to the bathroom -,spring cleaning,"poetry books
banished to the bathroom -
spring cleaning",en
10774,livres de poésie,bannis de la toilette -,nettoyage de printemps ,"livres de poésie
bannis de la toilette -
nettoyage de printemps ",fr
10775,solar flare -,spring moon half-hidden,in the clouds,"solar flare -
spring moon half-hidden
in the clouds",en
10776,éruption solaire -,la lune de printemps à demi cachée,dans les nuages ,"éruption solaire -
la lune de printemps à demi cachée
dans les nuages ",fr
10777,February rain -,the word 'spring',on the Scrabble board,"February rain -
the word 'spring'
on the Scrabble board",en
10778,pluie de février -,le mot 'printemps',sur le Scrabble ,"pluie de février -
le mot 'printemps'
sur le Scrabble ",fr
10779,February wind -,the word 'crocus',on the Scrabble board,"February wind -
the word 'crocus'
on the Scrabble board",en
10780,vent de février -,le mot 'crocus',sur le Scrabble ,"vent de février -
le mot 'crocus'
sur le Scrabble ",fr
10781,sudden rainstorm,my place in another world,kept by a bookmark,"sudden rainstorm
my place in another world
kept by a bookmark",en
10782,bourrasque soudaine,ma place dans un autre monde,gardée par un signet ,"bourrasque soudaine
ma place dans un autre monde
gardée par un signet ",fr
10783,Satie -,the rain,eases,"Satie -
the rain
eases",en
10784,(Satie -,la pluie,diminue),"(Satie -
la pluie
diminue)",ro
10785,Chinese market -,a row of small gold buddhas,share a smile,"Chinese market -
a row of small gold buddhas
share a smile",en
10786,marché chinois -,une rangée de petits bouddhas dorés,partagent un sourire ,"marché chinois -
une rangée de petits bouddhas dorés
partagent un sourire ",fr
10787,pension plans,the slow drone of a plane,coming in to land,"pension plans
the slow drone of a plane
coming in to land",en
10788,plans de pension,le lent bourdonnement d'un avion,qui rentre au pays ,"plans de pension
le lent bourdonnement d'un avion
qui rentre au pays ",fr
10789,strategic plan -,the sound of distant,foghorns,"strategic plan -
the sound of distant
foghorns",en
10790,plan stratégique -,le son distant,des cornes de brume ,"plan stratégique -
le son distant
des cornes de brume ",fr
10791,light rain -,water workers,dig a hole in the road,"light rain -
water workers
dig a hole in the road",en
10792,pluie fine -,les ouvriers des eaux,creusent un trou dans la route ,"pluie fine -
les ouvriers des eaux
creusent un trou dans la route ",fr
10793,February sun -,a street light still on,in the daytime,"February sun -
a street light still on
in the daytime",en
10794,soleil de février -,un lampadaire encore allumé,en plein jour ,"soleil de février -
un lampadaire encore allumé
en plein jour ",fr
10795,the smell of varnish,lingers in the hall,like winter,"the smell of varnish
lingers in the hall
like winter",en
10796,l'odeur du vernis,traine dans l'entrée,comme l'hiver ,"l'odeur du vernis
traine dans l'entrée
comme l'hiver ",fr
10797,Valentine's Day -,recycling,old gold,"Valentine's Day -
recycling
old gold",en
10798,Saint-Valentin -,recycler,le vieil or ,"Saint-Valentin -
recycler
le vieil or ",fr
10799,grey day,the only bright spot,a red traffic light,"grey day
the only bright spot
a red traffic light",en
10800,jour gris,la seule tache brillante,un feu rouge  ,"jour gris
la seule tache brillante
un feu rouge  ",fr
10801,cold rain,the greengrocer stacks cabbages,on cabbages,"cold rain
the greengrocer stacks cabbages
on cabbages",en
10802,pluie froide,l'épicier empile des choux,sur des choux ,"pluie froide
l'épicier empile des choux
sur des choux ",fr
10803,a window frames,the whole free world,in one white gull,"a window frames
the whole free world
in one white gull",en
10804,(cadre de la fenêtre,l'entièreté du monde libre,dans une mouette blanche) ,"(cadre de la fenêtre
l'entièreté du monde libre
dans une mouette blanche) ",fr
10805,between,the Prime Minister's words,birdsong,"between
the Prime Minister's words
birdsong",en
10806,entre,les mots du Premier Ministre,un chant d'oiseau ,"entre
les mots du Premier Ministre
un chant d'oiseau ",fr
10807,new year,fireworks,in a misty sky,"new year
fireworks
in a misty sky",en
10808,nouvel an,des feux d'artifice,dans un ciel de brume,"nouvel an
des feux d'artifice
dans un ciel de brume",fr
10809,late summer,graffiti overgrown,with ivy,"late summer
graffiti overgrown
with ivy",en
10810,fin d'été,les graffiti envahis,par le lierre,"fin d'été
les graffiti envahis
par le lierre",fr
10811,evening sky,over fallen petals,a dark rose,"evening sky
over fallen petals
a dark rose",no
10812,ciel du soir,sur les pétales tombés,une rose sombre,"ciel du soir
sur les pétales tombés
une rose sombre",fr
10813,a drop of ink -,tadpoles wriggle,on the water's surface,"a drop of ink -
tadpoles wriggle
on the water's surface",en
10814,une goutte d'encre -,des tétards qui s'agitent,à la surface de l'eau,"une goutte d'encre -
des tétards qui s'agitent
à la surface de l'eau",fr
10815,spring storm -,the grey dawn briefly,luminous,"spring storm -
the grey dawn briefly
luminous",en
10816,orage de printemps -,"l'aube grise, un instant",lumineuse,"orage de printemps -
l'aube grise, un instant
lumineuse",fr
10817,atop the high wall...,the intertwining of,barbed wire & roses,"atop the high wall...
the intertwining of
barbed wire & roses",en
10818,(au sommet du haut mur...,l'entrelacement,du barbelé et des roses) ,"(au sommet du haut mur...
l'entrelacement
du barbelé et des roses) ",fr
10819,after brief rain...,petrol rainbows appear,on the tarmac,"after brief rain...
petrol rainbows appear
on the tarmac",en
10820,après une courte pluie ...,des arc-en-ciels d'essence apparaissent,sur l'asphalte ,"après une courte pluie ...
des arc-en-ciels d'essence apparaissent
sur l'asphalte ",fr
10821,mist and rain-,from the dark church,we walk into light,"mist and rain-
from the dark church
we walk into light",en
10822,brouillard et pluie -,au sortir de l'église sombre,nous marchons dans la lumière ,"brouillard et pluie -
au sortir de l'église sombre
nous marchons dans la lumière ",fr
10823,uphill country walk...,on the verge wild plants,thriving in a carrier bag ,"uphill country walk...
on the verge wild plants
thriving in a carrier bag ",en
10824,fading light,with its own tiny rainbow,the lake's fountain,"fading light
with its own tiny rainbow
the lake's fountain",en
10825,lumière déclinante,avec son minuscule arc-en-ciel,la fontaine du lac ,"lumière déclinante
avec son minuscule arc-en-ciel
la fontaine du lac ",fr
10826,recycling point...,one bin's slot is sealed,with a spider's web,"recycling point...
one bin's slot is sealed
with a spider's web",en
10827,recyparc...,la fente d'une poubelle scellée,par une toile d'araignée ,"recyparc...
la fente d'une poubelle scellée
par une toile d'araignée ",fr
10828,after warm rain...,by the river the scent,of garlic & earth,"after warm rain...
by the river the scent
of garlic & earth",en
10829,après la pluie chaude ...,près de la rivière un parfum,d'ail & de terre ,"après la pluie chaude ...
près de la rivière un parfum
d'ail & de terre ",fr
10830,after the storm...,stuck to the window,two leaves side by side,"after the storm...
stuck to the window
two leaves side by side",en
10831,après la tempête...,collées à la fenêtre,deux feuilles côte à côte ,"après la tempête...
collées à la fenêtre
deux feuilles côte à côte ",fr
10832,concert in full flow...,mingling with the music,the smell of cooking,"concert in full flow...
mingling with the music
the smell of cooking",en
10833,(concert à flux continu...,mélangé à la musique,l'odeur de cuisine) ,"(concert à flux continu...
mélangé à la musique
l'odeur de cuisine) ",fr
10834,washing-up done-,through netted windows,a fading sunset,"washing-up done-
through netted windows
a fading sunset",en
10835,(la vaisselle faite ---,à travers les moustiquaires,un coucher de soleil décoloré) ,"(la vaisselle faite ---
à travers les moustiquaires
un coucher de soleil décoloré) ",fr
10836,a ladder leans,into the scent of apples ...,orchard fog,"a ladder leans
into the scent of apples ...
orchard fog",en
10837,(une échelle appuyée (contre un arbre),dans le parfum des pommes ...,verger dans le brouillard) ,"(une échelle appuyée (contre un arbre)
dans le parfum des pommes ...
verger dans le brouillard) ",fr
10838,brewing storm ...,how the clouds stir,in my coffee ,"brewing storm ...
how the clouds stir
in my coffee ",en
10839,skin mapping,the familiar constellations,on his back,"skin mapping
the familiar constellations
on his back",en
10840,cartographie de sa peau,les constellations familières,sur son dos ,"cartographie de sa peau
les constellations familières
sur son dos ",fr
10841,only the glow,of a paper lantern,new moon,"only the glow
of a paper lantern
new moon",en
10842,seulement la lueur,d'une lanterne de papier,nouvelle lune ,"seulement la lueur
d'une lanterne de papier
nouvelle lune ",fr
10843,alighting,on the edge of night,barn owl,"alighting
on the edge of night
barn owl",en
10844,un éclair,sur le bord de la nuit,le chat-huant ,"un éclair
sur le bord de la nuit
le chat-huant ",fr
10845,brussel sprouts,only the bitterness left,on our table,"brussel sprouts
only the bitterness left
on our table",en
10846,choux de bruxelles,seule l'amertume reste,sur notre table ,"choux de bruxelles
seule l'amertume reste
sur notre table ",fr
10847,brewing storm ...,how the clouds stir,in my coffee,"brewing storm ...
how the clouds stir
in my coffee",en
10848,brasser la tempête ...,comme les nuages tournent,dans mon café ,"brasser la tempête ...
comme les nuages tournent
dans mon café ",fr
10849,a touch ,of bluegrass ...,spring ,"a touch 
of bluegrass ...
spring ",en
10850,une touche,de bluegrass ...,printemps ,"une touche
de bluegrass ...
printemps ",fr
10851,the noir,of a beetle's carapace,passing rain,"the noir
of a beetle's carapace
passing rain",en
10852,le noir,de la carapace d'un scarabé,pluie passagère ,"le noir
de la carapace d'un scarabé
pluie passagère ",fr
10853,bobble and bounce,of the last marshmallow ...,hot cocoa ,"bobble and bounce
of the last marshmallow ...
hot cocoa ",en
10854,cutting flowers ...,a honeybee lingers,in the empty space,"cutting flowers ...
a honeybee lingers
in the empty space",en
10855,je coupe des fleurs ...,une abeille traîne,dans le vide laissé ,"je coupe des fleurs ...
une abeille traîne
dans le vide laissé ",fr
10856,the first scent ,of pink jasmine,open book,"the first scent 
of pink jasmine
open book",en
10857,le premier parfum,du jasmin rose,livre ouvert ,"le premier parfum
du jasmin rose
livre ouvert ",fr
10858,wet wooly mittens,drying by the hearth side,the smell of wet sheep,"wet wooly mittens
drying by the hearth side
the smell of wet sheep",en
10859,mitaines de laine mouillées,séchant sur le côté de l'âtre,l'odeur de mouton mouillé ,"mitaines de laine mouillées
séchant sur le côté de l'âtre
l'odeur de mouton mouillé ",fr
10860,the rhythmic lift,of her childbearing hips,high tide ,"the rhythmic lift
of her childbearing hips
high tide ",en
10861,another way out ...,a backdoor slammin',in the wind ,"another way out ...
a backdoor slammin'
in the wind ",en
10862,Beware of Dog,only the wildest flowers,go in there,"Beware of Dog
only the wildest flowers
go in there",en
10863,Attention au Chien,seules les fleurs sauvages,entrent ici ,"Attention au Chien
seules les fleurs sauvages
entrent ici ",fr
10864,the visual feast,of the first plum blossom,hunger moon,"the visual feast
of the first plum blossom
hunger moon",en
10865,le régal visuel,de la première fleur de prunier,lune de la faim ,"le régal visuel
de la première fleur de prunier
lune de la faim ",fr
10866,left behind,his scent of aftershave,on my cheek ,"left behind
his scent of aftershave
on my cheek ",en
10867,wolf call,in the distance ...,ice moon,"wolf call
in the distance ...
ice moon",en
10868,appel du loup,au lointain ...,lune de glace ,"appel du loup
au lointain ...
lune de glace ",fr
10869,the hollow sound,of sacred earth landing,six feet below,"the hollow sound
of sacred earth landing
six feet below",en
10870,le son creux,de la terre sacrée atterrisant,six pieds plus bas ,"le son creux
de la terre sacrée atterrisant
six pieds plus bas ",fr
10871,winter wind,a cradlesong sung,in an ancient tongue,"winter wind
a cradlesong sung
in an ancient tongue",en
10872,vent d'hiver,une berceuse chantée,dans une langue ancienne ,"vent d'hiver
une berceuse chantée
dans une langue ancienne ",fr
10873,sun tea darkens—,bees in the hollyhocks,all afternoon,"sun tea darkens—
bees in the hollyhocks
all afternoon",en
10874,(le Sun Tea se fonce.,les abeilles dans les roses trémières,tout l'après-midi) ,"(le Sun Tea se fonce.
les abeilles dans les roses trémières
tout l'après-midi) ",fr
10875,mud-spattered pickup-,four dogs watch,the tavern door,"mud-spattered pickup-
four dogs watch
the tavern door",en
10876,pickup couvert de boue -,quatre chiens observent,la porte de la taverne ,"pickup couvert de boue -
quatre chiens observent
la porte de la taverne ",fr
10877,spring fever,my heartbeat quickens,through the avalanche zone,"spring fever
my heartbeat quickens
through the avalanche zone",en
10878,fièvre de printemps,mon coeur bat plus fort,dans la zone d'avalanche ,"fièvre de printemps
mon coeur bat plus fort
dans la zone d'avalanche ",fr
10879,spring morning-,the urge to skip,and the wisdom not to,"spring morning-
the urge to skip
and the wisdom not to",en
10880,matin de printemps -,le désir de sautiller,et la sagesse de ne pas le faire ,"matin de printemps -
le désir de sautiller
et la sagesse de ne pas le faire ",fr
10881,power outage,hoarfrosted pines,shimmer in moonlight,"power outage
hoarfrosted pines
shimmer in moonlight",en
10882,panne de courant,les pins givrés,chatoyent au clair de lune ,"panne de courant
les pins givrés
chatoyent au clair de lune ",fr
10883,red sky-,our boat flag frayed,by 20 summers,"red sky-
our boat flag frayed
by 20 summers",da
10884,ciel rouge -,le drapeau de notre bateau effiloché,par 20 étés ,"ciel rouge -
le drapeau de notre bateau effiloché
par 20 étés ",fr
10885,rumble of thunder-,slicing just-picked peaches,for the pie,"rumble of thunder-
slicing just-picked peaches
for the pie",en
10886,roulement de tonnerre -,je découpe des pêches juste cueillies,pour une tarte ,"roulement de tonnerre -
je découpe des pêches juste cueillies
pour une tarte ",fr
10887,spring fever,my pockets full,of old grocery lists,"spring fever
my pockets full
of old grocery lists",en
10888,fièvre de printemps,mes poches pleines,de listes d'épicerie ,"fièvre de printemps
mes poches pleines
de listes d'épicerie ",fr
10889,spring rain,I read his letters,one last time,"spring rain
I read his letters
one last time",en
10890,pluie de printemps,je lis ses lettres,une dernière fois ,"pluie de printemps
je lis ses lettres
une dernière fois ",fr
10891,the familiar wail,of a common loon-,your empty chair,"the familiar wail
of a common loon-
your empty chair",en
10892,le cri familier,d'un huard commun -,ta chaise vide ,"le cri familier
d'un huard commun -
ta chaise vide ",fr
10893,Thanksgiving evening,the call of wild ducks,out on the bay,"Thanksgiving evening
the call of wild ducks
out on the bay",en
10894,soir de Thanksgiving,les appels de canards sauvages,dehors sur la baie ,"soir de Thanksgiving
les appels de canards sauvages
dehors sur la baie ",fr
10895,drumming rain,a patchwork of dreams,just before waking,"drumming rain
a patchwork of dreams
just before waking",en
10896,pluie battante,un patchwork de rêves,juste avant l'éveil ,"pluie battante
un patchwork de rêves
juste avant l'éveil ",fr
10897,the trail narrows-,every shadow,a possible bear,"the trail narrows-
every shadow
a possible bear",en
10898,le sentier se reserre-,dans chaque ombre,un ours possible ,"le sentier se reserre-
dans chaque ombre
un ours possible ",fr
10899,lingering grief-,calls of southbound geese,through misty rain,"lingering grief-
calls of southbound geese
through misty rain",en
10900,chagrin persistant -,appels d'oies volant vers le sud,à travers la pluie brumeuse ,"chagrin persistant -
appels d'oies volant vers le sud
à travers la pluie brumeuse ",fr
10901,lingering light,through the willows,scent of rain,"lingering light
through the willows
scent of rain",en
10902,la lumière persiste,entre les saules,odeur de pluie ,"la lumière persiste
entre les saules
odeur de pluie ",fr
10903,obsidian night,the white sound,of rain,"obsidian night
the white sound
of rain",en
10904,nuit obsidienne,le son blanc,de la pluie ,"nuit obsidienne
le son blanc
de la pluie ",fr
10905,a steady drizzle-,all day the weight,of things unsaid,"a steady drizzle-
all day the weight
of things unsaid",en
10906,une pluie continue-,tout le jour le poids,des choses non dites ,"une pluie continue-
tout le jour le poids
des choses non dites ",fr
10907,sleet ticking windows--,the chemo drip,in its last hour,"sleet ticking windows--
the chemo drip
in its last hour",en
10908,(la neige fondante contre la fenêtre --,le goutte-à-goutte de chimio,dans sa dernière heure) ,"(la neige fondante contre la fenêtre --
le goutte-à-goutte de chimio
dans sa dernière heure) ",fr
10909,evening shadows,on the walls of the Alamo,graffiti,"evening shadows
on the walls of the Alamo
graffiti",en
10910,ombres du soir,sur les murs d'Alamo,des graffiti ,"ombres du soir
sur les murs d'Alamo
des graffiti ",fr
10911,autumn chill,faint chimes,from our oldest clock,"autumn chill
faint chimes
from our oldest clock",fr
10912,froid de l'automne,le carillon à peine perceptible,de notre plus vieille horloge ,"froid de l'automne
le carillon à peine perceptible
de notre plus vieille horloge ",fr
10913,dusty knickknacks,I try to recall,the scent of burning leaves,"dusty knickknacks
I try to recall
the scent of burning leaves",en
10914,bibelots poussièreux,j'essaie de me rappeler,l'odeur des feuilles qui brûlent ,"bibelots poussièreux
j'essaie de me rappeler
l'odeur des feuilles qui brûlent ",fr
10915,midsummer morning--,the boat's gentle tug,at the anchor ,"midsummer morning--
the boat's gentle tug
at the anchor ",en
10916,an old woman,with a lost look in her eyes--,chilled wind,"an old woman
with a lost look in her eyes--
chilled wind",en
10917,une vieille femme,avec un regard perdu dans les yeux --,vent glacé,"une vieille femme
avec un regard perdu dans les yeux --
vent glacé",fr
10918,woodsmoke and fog,along the river bank,three trails meet,"woodsmoke and fog
along the river bank
three trails meet",en
10919,(fumée du feu de bois et brouillard,au long de la rivière,trois pistes se rencontrent),"(fumée du feu de bois et brouillard
au long de la rivière
trois pistes se rencontrent)",fr
10920,searcher's call,the lost child's name-,streetlamps veiled with rain,"searcher's call
the lost child's name-
streetlamps veiled with rain",en
10921,(appel d'un qui cherche,le nom de l'enfant perdu --,les lampes de la rue voilées de pluie),"(appel d'un qui cherche
le nom de l'enfant perdu --
les lampes de la rue voilées de pluie)",fr
10922,journey's end,far off in the blue distance,dark clouds,"journey's end
far off in the blue distance
dark clouds",en
10923,ice moon-,a berry branch,forced into bloom,"ice moon-
a berry branch
forced into bloom",en
10924,avalanche warning-,how very still,this winter night,"avalanche warning-
how very still
this winter night",en
10925,avis d'avalanche -,:comme elle est très calme,cette nuit d'hiver,"avis d'avalanche -
:comme elle est très calme
cette nuit d'hiver",fr
10926,our dusty truck-,an Amish man walks barefoot,across the village green,"our dusty truck-
an Amish man walks barefoot
across the village green",en
10927,notre camion poussierreux,un Amish marche pieds nus,sur la pelouse du village,"notre camion poussierreux
un Amish marche pieds nus
sur la pelouse du village",fr
10928,that long-ago kiss--,and still Orion strides,the winter sky,"that long-ago kiss--
and still Orion strides
the winter sky",en
10929,ce baiser d'il y a si longtemps --,et Orion arpente toujours,le ciel d'hiver,"ce baiser d'il y a si longtemps --
et Orion arpente toujours
le ciel d'hiver",fr
10930,bitter cold--,we don't chase the lone crow,from the sparrow's food,"bitter cold--
we don't chase the lone crow
from the sparrow's food",en
10931,(froid de canard --,nous ne chassons pas la corneille solitaire,de la nourriture des moineaux),"(froid de canard --
nous ne chassons pas la corneille solitaire
de la nourriture des moineaux)",fr
10932,deepening snow--,she leaves our atlas open,to her homeland,"deepening snow--
she leaves our atlas open
to her homeland",en
10933,la neige s'entasse --,elle laisse l'atlas ouvert,à la page de chez elle,"la neige s'entasse --
elle laisse l'atlas ouvert
à la page de chez elle",fr
10934,warmed-over coffee--,the gray gray sound,of winter rain,"warmed-over coffee--
the gray gray sound
of winter rain",en
10935,café réchauffé --,"le son gris, gris",de la pluie d'hiver,"café réchauffé --
le son gris, gris
de la pluie d'hiver",fr
10936,3:00 a.m.--,through sounds of winter rain,the mail plane landing,"3:00 a.m.--
through sounds of winter rain
the mail plane landing",en
